0          References for Cross Section of 34S36SO        
           Frandsen et al., 2020 (S2O-No isotope)   
0 Branching ratio for 34S36SO       Total        2 branches
Lambda  Total   34S/36SO   36S/34SO
2692.9  1.330E-17  6.650E-18  6.650E-18
2695.8  1.350E-17  6.750E-18  6.750E-18
2698.8  1.370E-17  6.850E-18  6.850E-18
2701.7  1.390E-17  6.950E-18  6.950E-18
2704.7  1.410E-17  7.050E-18  7.050E-18
2707.6  1.430E-17  7.150E-18  7.150E-18
2710.6  1.450E-17  7.250E-18  7.250E-18
2713.5  1.470E-17  7.350E-18  7.350E-18
2716.5  1.490E-17  7.450E-18  7.450E-18
2719.5  1.510E-17  7.550E-18  7.550E-18
2722.5  1.520E-17  7.600E-18  7.600E-18
2725.5  1.540E-17  7.700E-18  7.700E-18
2728.5  1.560E-17  7.800E-18  7.800E-18
2731.5  1.570E-17  7.850E-18  7.850E-18
2734.5  1.590E-17  7.950E-18  7.950E-18
2737.5  1.600E-17  8.000E-18  8.000E-18
2740.5  1.620E-17  8.100E-18  8.100E-18
2743.6  1.630E-17  8.150E-18  8.150E-18
2746.6  1.650E-17  8.250E-18  8.250E-18
2749.6  1.660E-17  8.300E-18  8.300E-18
2752.7  1.670E-17  8.350E-18  8.350E-18
2755.8  1.680E-17  8.400E-18  8.400E-18
2758.8  1.690E-17  8.450E-18  8.450E-18
2761.9  1.700E-17  8.500E-18  8.500E-18
2765  1.710E-17  8.550E-18  8.550E-18
2768.1  1.720E-17  8.600E-18  8.600E-18
2771.2  1.730E-17  8.650E-18  8.650E-18
2774.3  1.740E-17  8.700E-18  8.700E-18
2777.4  1.750E-17  8.750E-18  8.750E-18
2780.5  1.760E-17  8.800E-18  8.800E-18
2783.6  1.770E-17  8.850E-18  8.850E-18
2786.7  1.780E-17  8.900E-18  8.900E-18
2789.9  1.780E-17  8.900E-18  8.900E-18
2793  1.790E-17  8.950E-18  8.950E-18
2796.2  1.790E-17  8.950E-18  8.950E-18
2799.3  1.800E-17  9.000E-18  9.000E-18
2802.5  1.800E-17  9.000E-18  9.000E-18
2805.6  1.800E-17  9.000E-18  9.000E-18
2808.8  1.800E-17  9.000E-18  9.000E-18
2812  1.800E-17  9.000E-18  9.000E-18
2815.2  1.800E-17  9.000E-18  9.000E-18
2818.4  1.790E-17  8.950E-18  8.950E-18
2821.6  1.790E-17  8.950E-18  8.950E-18
2824.8  1.780E-17  8.900E-18  8.900E-18
2828  1.770E-17  8.850E-18  8.850E-18
2831.3  1.760E-17  8.800E-18  8.800E-18
2834.5  1.750E-17  8.750E-18  8.750E-18
2837.8  1.740E-17  8.700E-18  8.700E-18
2841  1.720E-17  8.600E-18  8.600E-18
2844.3  1.710E-17  8.550E-18  8.550E-18
2847.5  1.700E-17  8.500E-18  8.500E-18
2850.8  1.680E-17  8.400E-18  8.400E-18
2854.1  1.670E-17  8.350E-18  8.350E-18
2857.4  1.650E-17  8.250E-18  8.250E-18
2860.7  1.640E-17  8.200E-18  8.200E-18
2864  1.620E-17  8.100E-18  8.100E-18
2867.3  1.610E-17  8.050E-18  8.050E-18
2870.6  1.590E-17  7.950E-18  7.950E-18
2873.9  1.570E-17  7.850E-18  7.850E-18
2877.3  1.560E-17  7.800E-18  7.800E-18
2880.6  1.540E-17  7.700E-18  7.700E-18
2884  1.520E-17  7.600E-18  7.600E-18
2887.3  1.510E-17  7.550E-18  7.550E-18
2890.7  1.490E-17  7.450E-18  7.450E-18
2894.1  1.470E-17  7.350E-18  7.350E-18
2897.4  1.450E-17  7.250E-18  7.250E-18
2900.8  1.440E-17  7.200E-18  7.200E-18
2904.2  1.420E-17  7.100E-18  7.100E-18
2907.6  1.400E-17  7.000E-18  7.000E-18
2911  1.380E-17  6.900E-18  6.900E-18
2914.5  1.360E-17  6.800E-18  6.800E-18
2917.9  1.330E-17  6.650E-18  6.650E-18
2921.3  1.310E-17  6.550E-18  6.550E-18
2924.8  1.290E-17  6.450E-18  6.450E-18
2928.2  1.270E-17  6.350E-18  6.350E-18
2931.7  1.240E-17  6.200E-18  6.200E-18
2935.2  1.220E-17  6.100E-18  6.100E-18
2938.6  1.200E-17  6.000E-18  6.000E-18
2942.1  1.170E-17  5.850E-18  5.850E-18
2945.6  1.150E-17  5.750E-18  5.750E-18
2949.1  1.120E-17  5.600E-18  5.600E-18
2952.6  1.100E-17  5.500E-18  5.500E-18
2956.2  1.070E-17  5.350E-18  5.350E-18
2959.7  1.040E-17  5.200E-18  5.200E-18
2963.2  1.020E-17  5.100E-18  5.100E-18
2966.8  9.900E-18  4.950E-18  4.950E-18
2970.3  9.630E-18  4.815E-18  4.815E-18
2973.9  9.360E-18  4.680E-18  4.680E-18
2977.5  9.090E-18  4.545E-18  4.545E-18
2981  8.820E-18  4.410E-18  4.410E-18
2984.6  8.540E-18  4.270E-18  4.270E-18
2988.2  8.280E-18  4.140E-18  4.140E-18
2991.8  8.010E-18  4.005E-18  4.005E-18
2995.4  7.740E-18  3.870E-18  3.870E-18
2999.1  7.480E-18  3.740E-18  3.740E-18
3002.7  7.230E-18  3.615E-18  3.615E-18
3006.3  6.970E-18  3.485E-18  3.485E-18
3010  6.730E-18  3.365E-18  3.365E-18
3013.6  6.490E-18  3.245E-18  3.245E-18
3017.3  6.250E-18  3.125E-18  3.125E-18
3021  6.020E-18  3.010E-18  3.010E-18
3024.7  5.800E-18  2.900E-18  2.900E-18
3028.4  5.590E-18  2.795E-18  2.795E-18
3032.1  5.380E-18  2.690E-18  2.690E-18
3035.8  5.190E-18  2.595E-18  2.595E-18
3039.5  5.000E-18  2.500E-18  2.500E-18
3043.2  4.810E-18  2.405E-18  2.405E-18
3047  4.640E-18  2.320E-18  2.320E-18
3050.7  4.470E-18  2.235E-18  2.235E-18
3054.5  4.310E-18  2.155E-18  2.155E-18
3058.2  4.150E-18  2.075E-18  2.075E-18
3062  4.000E-18  2.000E-18  2.000E-18
3065.8  3.860E-18  1.930E-18  1.930E-18
3069.6  3.710E-18  1.855E-18  1.855E-18
3073.4  3.570E-18  1.785E-18  1.785E-18
3077.2  3.440E-18  1.720E-18  1.720E-18
3081  3.300E-18  1.650E-18  1.650E-18
3084.9  3.170E-18  1.585E-18  1.585E-18
3088.7  3.040E-18  1.520E-18  1.520E-18
3092.6  2.910E-18  1.455E-18  1.455E-18
3096.4  2.780E-18  1.390E-18  1.390E-18
3100.3  2.650E-18  1.325E-18  1.325E-18
3104.2  2.520E-18  1.260E-18  1.260E-18
3108.1  2.390E-18  1.195E-18  1.195E-18
3112  2.260E-18  1.130E-18  1.130E-18
3115.9  2.140E-18  1.070E-18  1.070E-18
3119.8  2.010E-18  1.005E-18  1.005E-18
3123.7  1.890E-18  9.450E-19  9.450E-19
3127.7  1.770E-18  8.850E-19  8.850E-19
3131.6  1.660E-18  8.300E-19  8.300E-19
3135.6  1.550E-18  7.750E-19  7.750E-19
3139.6  1.440E-18  7.200E-19  7.200E-19
