0          References for Cross Section of 34SO3        
Sander 2011
0 Branching ratio for 34SO3      Total        1 branches
Lambda Total 34SO2/O 
2058.5  5.92E-19  5.92E-19
2059  5.91E-19  5.91E-19
2059.5  5.89E-19  5.89E-19
2060  5.88E-19  5.88E-19
2060.5  5.86E-19  5.86E-19
2061  5.85E-19  5.85E-19
2061.5  5.83E-19  5.83E-19
2062  5.82E-19  5.82E-19
2062.5  5.80E-19  5.80E-19
2063  5.79E-19  5.79E-19
2063.5  5.77E-19  5.77E-19
2064  5.76E-19  5.76E-19
2064.5  5.74E-19  5.74E-19
2065  5.73E-19  5.73E-19
2065.5  5.71E-19  5.71E-19
2066  5.69E-19  5.69E-19
2066.5  5.68E-19  5.68E-19
2067  5.66E-19  5.66E-19
2067.5  5.65E-19  5.65E-19
2068  5.63E-19  5.63E-19
2068.5  5.62E-19  5.62E-19
2069  5.60E-19  5.60E-19
2069.5  5.59E-19  5.59E-19
2070  5.57E-19  5.57E-19
2070.5  5.55E-19  5.55E-19
2071  5.54E-19  5.54E-19
2071.5  5.52E-19  5.52E-19
2072  5.51E-19  5.51E-19
2072.5  5.49E-19  5.49E-19
2073  5.48E-19  5.48E-19
2073.5  5.46E-19  5.46E-19
2074  5.45E-19  5.45E-19
2074.5  5.43E-19  5.43E-19
2075  5.42E-19  5.42E-19
2075.5  5.40E-19  5.40E-19
2076  5.38E-19  5.38E-19
2076.5  5.37E-19  5.37E-19
2077  5.35E-19  5.35E-19
2077.5  5.34E-19  5.34E-19
2078  5.32E-19  5.32E-19
2078.5  5.31E-19  5.31E-19
2079  5.29E-19  5.29E-19
2079.5  5.28E-19  5.28E-19
2080  5.26E-19  5.26E-19
2080.5  5.24E-19  5.24E-19
2081  5.23E-19  5.23E-19
2081.5  5.21E-19  5.21E-19
2082  5.20E-19  5.20E-19
2082.5  5.18E-19  5.18E-19
2083  5.17E-19  5.17E-19
2083.5  5.15E-19  5.15E-19
2084  5.14E-19  5.14E-19
2084.5  5.12E-19  5.12E-19
2085  5.11E-19  5.11E-19
2085.5  5.09E-19  5.09E-19
2086  5.07E-19  5.07E-19
2086.5  5.06E-19  5.06E-19
2087  5.04E-19  5.04E-19
2087.5  5.03E-19  5.03E-19
2088  5.01E-19  5.01E-19
2088.5  5.00E-19  5.00E-19
2089  4.98E-19  4.98E-19
2089.5  4.97E-19  4.97E-19
2090  4.95E-19  4.95E-19
2090.5  4.93E-19  4.93E-19
2091  4.92E-19  4.92E-19
2091.5  4.90E-19  4.90E-19
2092  4.89E-19  4.89E-19
2092.5  4.87E-19  4.87E-19
2093  4.86E-19  4.86E-19
2093.5  4.84E-19  4.84E-19
2094  4.83E-19  4.83E-19
2094.5  4.81E-19  4.81E-19
2095  4.80E-19  4.80E-19
2095.5  4.78E-19  4.78E-19
2096  4.76E-19  4.76E-19
2096.5  4.75E-19  4.75E-19
2097  4.73E-19  4.73E-19
2097.5  4.72E-19  4.72E-19
2098  4.70E-19  4.70E-19
2098.5  4.69E-19  4.69E-19
2099  4.67E-19  4.67E-19
2099.5  4.66E-19  4.66E-19
2100  4.64E-19  4.64E-19
2100.5  4.62E-19  4.62E-19
2101  4.61E-19  4.61E-19
2101.5  4.59E-19  4.59E-19
2102  4.58E-19  4.58E-19
2102.5  4.56E-19  4.56E-19
2103  4.54E-19  4.54E-19
2103.5  4.53E-19  4.53E-19
2104  4.51E-19  4.51E-19
2104.5  4.50E-19  4.50E-19
2105  4.48E-19  4.48E-19
2105.5  4.46E-19  4.46E-19
2106  4.45E-19  4.45E-19
2106.5  4.43E-19  4.43E-19
2107  4.42E-19  4.42E-19
2107.5  4.40E-19  4.40E-19
2108  4.38E-19  4.38E-19
2108.5  4.37E-19  4.37E-19
2109  4.35E-19  4.35E-19
2109.5  4.34E-19  4.34E-19
2110  4.32E-19  4.32E-19
2110.5  4.30E-19  4.30E-19
2111  4.29E-19  4.29E-19
2111.5  4.27E-19  4.27E-19
2112  4.26E-19  4.26E-19
2112.5  4.24E-19  4.24E-19
2113  4.22E-19  4.22E-19
2113.5  4.21E-19  4.21E-19
2114  4.19E-19  4.19E-19
2114.5  4.18E-19  4.18E-19
2115  4.16E-19  4.16E-19
2115.5  4.14E-19  4.14E-19
2116  4.13E-19  4.13E-19
