0          References for Cross Section of 34SO        34S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1910.041147  1.06E-17  1.06E-17
1910.048606  2.60E-17  2.60E-17
1910.054969  3.33E-18  3.33E-18
1910.061962  1.38E-17  1.38E-17
1910.072237  4.61E-18  4.61E-18
1910.085463  6.45E-18  6.45E-18
1910.096438  8.16E-18  8.16E-18
1910.107256  5.01E-18  5.01E-18
1910.118122  5.68E-18  5.68E-18
1910.129006  1.03E-17  1.03E-17
1910.145758  8.44E-18  8.44E-18
1910.159637  1.64E-17  1.64E-17
1910.166295  1.03E-17  1.03E-17
1910.171749  2.30E-17  2.30E-17
1910.177251  2.38E-17  2.38E-17
1910.182983  4.34E-18  4.34E-18
1910.200529  3.27E-18  3.27E-18
1910.229679  7.12E-18  7.12E-18
1910.243298  4.27E-18  4.27E-18
1910.254002  1.28E-17  1.28E-17
1910.270425  5.09E-18  5.09E-18
1910.288808  8.35E-18  8.35E-18
1910.298398  1.79E-17  1.79E-17
1910.306578  1.33E-17  1.33E-17
1910.318002  3.33E-18  3.33E-18
1910.338604  3.95E-18  3.95E-18
1910.367534  7.89E-18  7.89E-18
1910.381082  7.84E-18  7.84E-18
1910.392241  1.19E-17  1.19E-17
1910.400975  9.50E-18  9.50E-18
1910.409236  6.65E-18  6.65E-18
1910.417895  1.04E-17  1.04E-17
1910.428068  1.10E-17  1.10E-17
1910.440652  3.85E-18  3.85E-18
1910.451062  2.41E-17  2.41E-17
1910.460739  3.81E-18  3.81E-18
1910.473421  4.71E-18  4.71E-18
1910.493275  3.22E-18  3.22E-18
1910.528153  1.24E-17  1.24E-17
1910.537565  1.56E-17  1.56E-17
1910.546906  5.96E-18  5.96E-18
1910.559015  8.15E-18  8.15E-18
1910.571206  4.24E-18  4.24E-18
1910.59581  4.95E-18  4.95E-18
1910.611797  7.32E-18  7.32E-18
1910.619967  2.64E-17  2.64E-17
1910.635759  3.35E-18  3.35E-18
1910.663358  7.26E-18  7.26E-18
1910.687959  8.71E-18  8.71E-18
1910.696805  8.77E-18  8.77E-18
1910.702875  1.20E-17  1.20E-17
1910.70863  2.12E-17  2.12E-17
1910.715487  6.52E-18  6.52E-18
1910.744416  5.97E-18  5.97E-18
1910.759264  8.69E-18  8.69E-18
1910.77957  3.14E-18  3.14E-18
1910.796882  8.38E-18  8.38E-18
1910.803791  2.11E-17  2.11E-17
1910.810807  3.06E-17  3.06E-17
1910.819207  4.53E-18  4.53E-18
1910.835463  4.52E-18  4.52E-18
1910.878269  3.38E-18  3.38E-18
1910.891583  7.75E-18  7.75E-18
1910.90479  9.39E-18  9.39E-18
1910.922806  3.43E-18  3.43E-18
1910.935515  1.33E-17  1.33E-17
1910.94562  2.76E-18  2.76E-18
1910.964647  6.08E-18  6.08E-18
1910.973005  1.57E-17  1.57E-17
1910.980437  5.82E-18  5.82E-18
1910.996862  8.04E-18  8.04E-18
1911.013652  1.23E-17  1.23E-17
1911.027832  5.47E-18  5.47E-18
1911.043143  4.88E-18  4.88E-18
1911.054156  8.86E-18  8.86E-18
1911.062554  6.11E-18  6.11E-18
1911.07196  3.81E-18  3.81E-18
1911.084504  7.09E-18  7.09E-18
1911.09481  9.02E-18  9.02E-18
1911.102343  1.63E-17  1.63E-17
1911.10825  9.62E-18  9.62E-18
1911.113167  5.33E-18  5.33E-18
1911.11739  1.07E-17  1.07E-17
1911.122623  3.04E-17  3.04E-17
1911.127993  1.36E-17  1.36E-17
1911.135752  6.10E-18  6.10E-18
1911.146098  4.47E-18  4.47E-18
1911.156384  8.45E-18  8.45E-18
1911.174576  7.25E-18  7.25E-18
1911.190767  4.57E-18  4.57E-18
1911.202405  3.72E-18  3.72E-18
1911.209946  1.36E-17  1.36E-17
1911.217105  9.66E-18  9.66E-18
1911.222425  1.04E-17  1.04E-17
1911.229237  2.68E-17  2.68E-17
1911.235857  7.75E-18  7.75E-18
1911.242384  2.03E-17  2.03E-17
1911.251247  6.35E-18  6.35E-18
1911.262407  9.98E-18  9.98E-18
1911.273784  1.08E-17  1.08E-17
1911.284725  1.02E-17  1.02E-17
1911.295696  3.58E-18  3.58E-18
1911.307137  8.59E-18  8.59E-18
1911.335021  3.93E-18  3.93E-18
1911.350741  6.22E-18  6.22E-18
1911.357235  3.00E-17  3.00E-17
1911.364273  1.56E-17  1.56E-17
1911.3711  8.66E-18  8.66E-18
1911.382934  6.52E-18  6.52E-18
1911.394071  7.99E-18  7.99E-18
1911.403825  3.53E-18  3.53E-18
1911.41171  1.94E-17  1.94E-17
1911.423286  5.19E-18  5.19E-18
1911.453968  5.98E-18  5.98E-18
1911.464628  1.28E-17  1.28E-17
1911.474035  1.93E-17  1.93E-17
1911.481782  9.00E-18  9.00E-18
1911.491525  1.94E-17  1.94E-17
1911.510895  3.37E-18  3.37E-18
1911.526189  6.39E-18  6.39E-18
1911.5336  1.23E-17  1.23E-17
1911.539488  1.42E-17  1.42E-17
1911.546199  1.38E-17  1.38E-17
1911.563049  3.58E-18  3.58E-18
1911.594554  9.30E-18  9.30E-18
1911.602839  1.80E-17  1.80E-17
1911.606839  2.46E-17  2.46E-17
1911.610693  3.21E-17  3.21E-17
1911.614566  4.85E-17  4.85E-17
1911.618674  1.87E-17  1.87E-17
1911.623442  3.66E-18  3.66E-18
1911.659874  6.54E-18  6.54E-18
1911.695803  4.38E-18  4.38E-18
1911.721624  9.47E-18  9.47E-18
1911.732908  8.04E-18  8.04E-18
1911.741266  1.11E-17  1.11E-17
1911.748742  9.83E-18  9.83E-18
1911.754615  3.42E-17  3.42E-17
1911.759942  3.34E-17  3.34E-17
1911.764152  2.71E-17  2.71E-17
1911.768368  1.20E-17  1.20E-17
1911.77399  1.01E-17  1.01E-17
1911.791976  2.78E-18  2.78E-18
1911.833211  8.01E-18  8.01E-18
1911.840724  1.99E-17  1.99E-17
1911.84869  4.61E-18  4.61E-18
1911.87529  7.37E-18  7.37E-18
1911.888215  1.65E-17  1.65E-17
1911.912558  3.95E-18  3.95E-18
1911.927117  3.69E-17  3.69E-17
1911.934111  1.53E-17  1.53E-17
1911.940647  7.75E-18  7.75E-18
1911.950482  4.12E-18  4.12E-18
1911.971014  3.23E-18  3.23E-18
1911.992865  6.21E-18  6.21E-18
1912.000539  1.44E-17  1.44E-17
1912.008816  1.12E-17  1.12E-17
1912.020779  1.23E-17  1.23E-17
1912.030421  6.88E-18  6.88E-18
1912.040659  1.12E-17  1.12E-17
1912.056405  3.30E-18  3.30E-18
1912.082497  6.26E-18  6.26E-18
1912.10218  4.28E-18  4.28E-18
1912.113897  2.80E-17  2.80E-17
1912.133165  3.65E-18  3.65E-18
1912.162549  5.04E-18  5.04E-18
