0          References for Cross Section of 32S32S34S        
           Frandsen., 2020 (No isotope)   
0 Branching ratio for 32S32S34S       Total        2 branches
Lambda  Total   32S/32S34S   34S/32S32S
3516.2  1.2700E-17  8.4667E-18  4.2333E-18
3521.2  1.3300E-17  8.8667E-18  4.4333E-18
3526.2  1.3900E-17  9.2667E-18  4.6333E-18
3531.2  1.4600E-17  9.7333E-18  4.8667E-18
3536.2  1.5300E-17  1.0200E-17  5.1000E-18
3541.3  1.6000E-17  1.0667E-17  5.3333E-18
3546.4  1.6800E-17  1.1200E-17  5.6000E-18
3551.4  1.7500E-17  1.1667E-17  5.8333E-18
3556.5  1.8300E-17  1.2200E-17  6.1000E-18
3561.6  1.9100E-17  1.2733E-17  6.3667E-18
3566.8  1.9900E-17  1.3267E-17  6.6333E-18
3571.9  2.0800E-17  1.3867E-17  6.9333E-18
3577.1  2.1600E-17  1.4400E-17  7.2000E-18
3582.2  2.2500E-17  1.5000E-17  7.5000E-18
3587.4  2.3400E-17  1.5600E-17  7.8000E-18
3592.6  2.4300E-17  1.6200E-17  8.1000E-18
3597.8  2.5200E-17  1.6800E-17  8.4000E-18
3603  2.6200E-17  1.7467E-17  8.7333E-18
3608.3  2.7100E-17  1.8067E-17  9.0333E-18
3613.5  2.8000E-17  1.8667E-17  9.3333E-18
3618.8  2.8900E-17  1.9267E-17  9.6333E-18
3624.1  2.9800E-17  1.9867E-17  9.9333E-18
3629.4  3.0600E-17  2.0400E-17  1.0200E-17
3634.7  3.1400E-17  2.0933E-17  1.0467E-17
3640.1  3.2200E-17  2.1467E-17  1.0733E-17
3645.4  3.2900E-17  2.1933E-17  1.0967E-17
3650.8  3.3600E-17  2.2400E-17  1.1200E-17
3656.2  3.4300E-17  2.2867E-17  1.1433E-17
3661.6  3.4900E-17  2.3267E-17  1.1633E-17
3667  3.5400E-17  2.3600E-17  1.1800E-17
3672.4  3.5900E-17  2.3933E-17  1.1967E-17
3677.9  3.6300E-17  2.4200E-17  1.2100E-17
3683.3  3.6600E-17  2.4400E-17  1.2200E-17
3688.8  3.6900E-17  2.4600E-17  1.2300E-17
3694.3  3.7200E-17  2.4800E-17  1.2400E-17
3699.8  3.7400E-17  2.4933E-17  1.2467E-17
3705.3  3.7500E-17  2.5000E-17  1.2500E-17
3710.9  3.7600E-17  2.5067E-17  1.2533E-17
3716.4  3.7600E-17  2.5067E-17  1.2533E-17
3722  3.7600E-17  2.5067E-17  1.2533E-17
3727.6  3.7600E-17  2.5067E-17  1.2533E-17
3733.2  3.7600E-17  2.5067E-17  1.2533E-17
3738.9  3.7500E-17  2.5000E-17  1.2500E-17
3744.5  3.7400E-17  2.4933E-17  1.2467E-17
3750.2  3.7200E-17  2.4800E-17  1.2400E-17
3755.8  3.7100E-17  2.4733E-17  1.2367E-17
3761.5  3.6900E-17  2.4600E-17  1.2300E-17
3767.3  3.6700E-17  2.4467E-17  1.2233E-17
3773  3.6500E-17  2.4333E-17  1.2167E-17
3778.7  3.6300E-17  2.4200E-17  1.2100E-17
3784.5  3.6000E-17  2.4000E-17  1.2000E-17
3790.3  3.5800E-17  2.3867E-17  1.1933E-17
3796.1  3.5500E-17  2.3667E-17  1.1833E-17
3801.9  3.5100E-17  2.3400E-17  1.1700E-17
3807.8  3.4800E-17  2.3200E-17  1.1600E-17
3813.6  3.4400E-17  2.2933E-17  1.1467E-17
3819.5  3.4000E-17  2.2667E-17  1.1333E-17
3825.4  3.3600E-17  2.2400E-17  1.1200E-17
3831.3  3.3100E-17  2.2067E-17  1.1033E-17
3837.2  3.2600E-17  2.1733E-17  1.0867E-17
3843.2  3.2000E-17  2.1333E-17  1.0667E-17
