0          References for Cross Section of O32S32SO        
           Frandsen et al., 2020 (cis-OSSO-No isotope)   
0 Branching ratio for O32S32SO       Total        1 branch
Lambda  Total   32SO/32SO
3197.6  8.07470E-18  8.07470E-18
3201.7  8.37607E-18  8.37607E-18
3205.9  8.68734E-18  8.68734E-18
3210  9.00823E-18  9.00823E-18
3214.2  9.33839E-18  9.33839E-18
3218.4  9.67733E-18  9.67733E-18
3222.5  1.00244E-17  1.00244E-17
3226.7  1.03789E-17  1.03789E-17
3230.9  1.07397E-17  1.07397E-17
3235.2  1.11057E-17  1.11057E-17
3239.4  1.14755E-17  1.14755E-17
3243.6  1.18476E-17  1.18476E-17
3247.9  1.22201E-17  1.22201E-17
3252.1  1.25913E-17  1.25913E-17
3256.4  1.29591E-17  1.29591E-17
3260.7  1.33217E-17  1.33217E-17
3265  1.36770E-17  1.36770E-17
3269.3  1.40232E-17  1.40232E-17
3273.6  1.43587E-17  1.43587E-17
3277.9  1.46820E-17  1.46820E-17
3282.3  1.49920E-17  1.49920E-17
3286.6  1.52877E-17  1.52877E-17
3291  1.55687E-17  1.55687E-17
3295.3  1.58348E-17  1.58348E-17
3299.7  1.60860E-17  1.60860E-17
3304.1  1.63228E-17  1.63228E-17
3308.5  1.65458E-17  1.65458E-17
3313  1.67558E-17  1.67558E-17
3317.4  1.69536E-17  1.69536E-17
3321.8  1.71401E-17  1.71401E-17
3326.3  1.73163E-17  1.73163E-17
3330.8  1.74827E-17  1.74827E-17
3335.2  1.76399E-17  1.76399E-17
3339.7  1.77883E-17  1.77883E-17
3344.2  1.79279E-17  1.79279E-17
3348.8  1.80587E-17  1.80587E-17
3353.3  1.81804E-17  1.81804E-17
3357.8  1.82924E-17  1.82924E-17
3362.4  1.83942E-17  1.83942E-17
3366.9  1.84851E-17  1.84851E-17
3371.5  1.85643E-17  1.85643E-17
3376.1  1.86312E-17  1.86312E-17
3380.7  1.86851E-17  1.86851E-17
3385.3  1.87256E-17  1.87256E-17
3390  1.87523E-17  1.87523E-17
3394.6  1.87650E-17  1.87650E-17
3399.2  1.87635E-17  1.87635E-17
3403.9  1.87479E-17  1.87479E-17
3408.6  1.87184E-17  1.87184E-17
3413.3  1.86753E-17  1.86753E-17
3418  1.86187E-17  1.86187E-17
3422.7  1.85491E-17  1.85491E-17
3427.4  1.84668E-17  1.84668E-17
3432.2  1.83720E-17  1.83720E-17
3436.9  1.82653E-17  1.82653E-17
3441.7  1.81467E-17  1.81467E-17
3446.5  1.80167E-17  1.80167E-17
3451.3  1.78754E-17  1.78754E-17
3456.1  1.77231E-17  1.77231E-17
3460.9  1.75600E-17  1.75600E-17
3465.8  1.73863E-17  1.73863E-17
3470.6  1.72024E-17  1.72024E-17
3475.5  1.70084E-17  1.70084E-17
3480.4  1.68047E-17  1.68047E-17
3485.2  1.65914E-17  1.65914E-17
3490.2  1.63691E-17  1.63691E-17
3495.1  1.61379E-17  1.61379E-17
3500  1.58981E-17  1.58981E-17
3505  1.56501E-17  1.56501E-17
3509.9  1.53943E-17  1.53943E-17
3514.9  1.51310E-17  1.51310E-17
3519.9  1.48604E-17  1.48604E-17
3524.9  1.45832E-17  1.45832E-17
3529.9  1.42995E-17  1.42995E-17
3534.9  1.40101E-17  1.40101E-17
3540  1.37155E-17  1.37155E-17
3545  1.34161E-17  1.34161E-17
3550.1  1.31129E-17  1.31129E-17
3555.2  1.28064E-17  1.28064E-17
3560.3  1.24976E-17  1.24976E-17
3565.4  1.21871E-17  1.21871E-17
3570.6  1.18758E-17  1.18758E-17
3575.7  1.15645E-17  1.15645E-17
3580.9  1.12538E-17  1.12538E-17
3586.1  1.09446E-17  1.09446E-17
3591.2  1.06373E-17  1.06373E-17
3596.5  1.03324E-17  1.03324E-17
3601.7  1.00303E-17  1.00303E-17
3606.9  9.73139E-18  9.73139E-18
3612.2  9.43584E-18  9.43584E-18
3617.4  9.14386E-18  9.14386E-18
3622.7  8.85560E-18  8.85560E-18
3628  8.57122E-18  8.57122E-18
3633.3  8.29087E-18  8.29087E-18
3638.7  8.01474E-18  8.01474E-18
3644  7.74307E-18  7.74307E-18
3649.4  7.47611E-18  7.47611E-18
3654.8  7.21417E-18  7.21417E-18
3660.2  6.95757E-18  6.95757E-18
