@var:T=Tgas
@var:invT=1d0/Tgas
@var:M=n(idx_M) 
@format:idx,R,R,R,P,P,rate

# SO + SO → SO₂ + S
297,32S32S33S34S,33S33S33S33S,M,33S8,M,4.46d-29
298,32S32S33S34S,33S33S33S34S,M,33S8,M,4.46d-29
299,32S32S33S34S,33S33S33S36S,M,33S8,M,4.46d-29
300,32S32S33S34S,33S33S34S34S,M,34S8,M,4.46d-29
301,32S32S33S34S,33S33S34S36S,M,33S8,M,4.46d-29
302,32S32S33S34S,33S33S36S36S,M,33S8,M,4.46d-29
303,32S32S33S34S,33S34S34S34S,M,34S8,M,4.46d-29
304,32S32S33S34S,33S34S34S36S,M,34S8,M,4.46d-29
305,32S32S33S34S,33S34S36S36S,M,36S8,M,4.46d-29
306,32S32S33S34S,33S36S36S36S,M,36S8,M,4.46d-29
307,32S32S33S34S,34S34S34S34S,M,34S8,M,4.46d-29
308,32S32S33S34S,34S34S34S36S,M,34S8,M,4.46d-29
309,32S32S33S34S,34S34S36S36S,M,34S8,M,4.46d-29
310,32S32S33S34S,34S36S36S36S,M,36S8,M,4.46d-29
311,32S32S33S34S,36S36S36S36S,M,36S8,M,4.46d-29
312,32S32S33S36S,32S32S33S36S,M,32S8,M,2.23d-29
313,32S32S33S36S,32S32S34S34S,M,32S8,M,4.46d-29
314,32S32S33S36S,32S32S34S36S,M,32S8,M,4.46d-29
315,32S32S33S36S,32S32S36S36S,M,32S8,M,4.46d-29
316,32S32S33S36S,32S33S33S33S,M,33S8,M,4.46d-29
317,32S32S33S36S,32S33S33S34S,M,33S8,M,4.46d-29
318,32S32S33S36S,32S33S33S36S,M,33S8,M,4.46d-29
319,32S32S33S36S,32S33S34S34S,M,32S8,M,4.46d-29
320,32S32S33S36S,32S33S34S36S,M,32S8,M,4.46d-29
321,32S32S33S36S,32S33S36S36S,M,36S8,M,4.46d-29
322,32S32S33S36S,32S34S34S34S,M,34S8,M,4.46d-29
323,32S32S33S36S,32S34S34S36S,M,32S8,M,4.46d-29
324,32S32S33S36S,32S34S36S36S,M,36S8,M,4.46d-29
325,32S32S33S36S,32S36S36S36S,M,36S8,M,4.46d-29
326,32S32S33S36S,33S33S33S33S,M,33S8,M,4.46d-29
327,32S32S33S36S,33S33S33S34S,M,33S8,M,4.46d-29
328,32S32S33S36S,33S33S33S36S,M,33S8,M,4.46d-29
329,32S32S33S36S,33S33S34S34S,M,33S8,M,4.46d-29
330,32S32S33S36S,33S33S34S36S,M,33S8,M,4.46d-29
331,32S32S33S36S,33S33S36S36S,M,36S8,M,4.46d-29
332,32S32S33S36S,33S34S34S34S,M,34S8,M,4.46d-29
333,32S32S33S36S,33S34S34S36S,M,36S8,M,4.46d-29
334,32S32S33S36S,33S34S36S36S,M,36S8,M,4.46d-29
335,32S32S33S36S,33S36S36S36S,M,36S8,M,4.46d-29
336,32S32S33S36S,34S34S34S34S,M,34S8,M,4.46d-29
337,32S32S33S36S,34S34S34S36S,M,34S8,M,4.46d-29
338,32S32S33S36S,34S34S36S36S,M,36S8,M,4.46d-29
339,32S32S33S36S,34S36S36S36S,M,36S8,M,4.46d-29
340,32S32S33S36S,36S36S36S36S,M,36S8,M,4.46d-29
341,32S32S34S34S,32S32S34S34S,M,34S8,M,2.23d-29
342,32S32S34S34S,32S32S34S36S,M,32S8,M,4.46d-29
343,32S32S34S34S,32S32S36S36S,M,32S8,M,4.46d-29
344,32S32S34S34S,32S33S33S33S,M,33S8,M,4.46d-29
345,32S32S34S34S,32S33S33S34S,M,34S8,M,4.46d-29
346,32S32S34S34S,32S33S33S36S,M,32S8,M,4.46d-29
347,32S32S34S34S,32S33S34S34S,M,34S8,M,4.46d-29
348,32S32S34S34S,32S33S34S36S,M,34S8,M,4.46d-29
349,32S32S34S34S,32S33S36S36S,M,32S8,M,4.46d-29
350,32S32S34S34S,32S34S34S34S,M,34S8,M,4.46d-29
351,32S32S34S34S,32S34S34S36S,M,34S8,M,4.46d-29
352,32S32S34S34S,32S34S36S36S,M,34S8,M,4.46d-29
353,32S32S34S34S,32S36S36S36S,M,36S8,M,4.46d-29
354,32S32S34S34S,33S33S33S33S,M,33S8,M,4.46d-29
355,32S32S34S34S,33S33S33S34S,M,34S8,M,4.46d-29
356,32S32S34S34S,33S33S33S36S,M,33S8,M,4.46d-29
357,32S32S34S34S,33S33S34S34S,M,34S8,M,4.46d-29
358,32S32S34S34S,33S33S34S36S,M,34S8,M,4.46d-29
359,32S32S34S34S,33S33S36S36S,M,36S8,M,4.46d-29
360,32S32S34S34S,33S34S34S34S,M,34S8,M,4.46d-29
361,32S32S34S34S,33S34S34S36S,M,34S8,M,4.46d-29
362,32S32S34S34S,33S34S36S36S,M,34S8,M,4.46d-29
363,32S32S34S34S,33S36S36S36S,M,36S8,M,4.46d-29
364,32S32S34S34S,34S34S34S34S,M,34S8,M,4.46d-29
365,32S32S34S34S,34S34S34S36S,M,34S8,M,4.46d-29
366,32S32S34S34S,34S34S36S36S,M,34S8,M,4.46d-29
367,32S32S34S34S,34S36S36S36S,M,36S8,M,4.46d-29
368,32S32S34S34S,36S36S36S36S,M,36S8,M,4.46d-29
369,32S32S34S36S,32S32S34S36S,M,32S8,M,2.23d-29
370,32S32S34S36S,32S32S36S36S,M,32S8,M,4.46d-29
371,32S32S34S36S,32S33S33S33S,M,33S8,M,4.46d-29
372,32S32S34S36S,32S33S33S34S,M,32S8,M,4.46d-29
373,32S32S34S36S,32S33S33S36S,M,32S8,M,4.46d-29
374,32S32S34S36S,32S33S34S34S,M,34S8,M,4.46d-29
375,32S32S34S36S,32S33S34S36S,M,32S8,M,4.46d-29
376,32S32S34S36S,32S33S36S36S,M,36S8,M,4.46d-29
377,32S32S34S36S,32S34S34S34S,M,34S8,M,4.46d-29
378,32S32S34S36S,32S34S34S36S,M,34S8,M,4.46d-29
379,32S32S34S36S,32S34S36S36S,M,36S8,M,4.46d-29
380,32S32S34S36S,32S36S36S36S,M,36S8,M,4.46d-29
381,32S32S34S36S,33S33S33S33S,M,33S8,M,4.46d-29
382,32S32S34S36S,33S33S33S34S,M,33S8,M,4.46d-29
383,32S32S34S36S,33S33S33S36S,M,33S8,M,4.46d-29
384,32S32S34S36S,33S33S34S34S,M,34S8,M,4.46d-29
385,32S32S34S36S,33S33S34S36S,M,36S8,M,4.46d-29
386,32S32S34S36S,33S33S36S36S,M,36S8,M,4.46d-29
387,32S32S34S36S,33S34S34S34S,M,34S8,M,4.46d-29
388,32S32S34S36S,33S34S34S36S,M,34S8,M,4.46d-29
389,32S32S34S36S,33S34S36S36S,M,36S8,M,4.46d-29
390,32S32S34S36S,33S36S36S36S,M,36S8,M,4.46d-29
391,32S32S34S36S,34S34S34S34S,M,34S8,M,4.46d-29
