@var:T=Tgas
@var:invT=1d0/Tgas
@var:M=n(idx_M) 
@format:idx,R,R,R,P,P,rate

# SO + SO → SO₂ + S
811,36SO2_1A2,34SO2,,36SO,34SO3,4.00d-12

# ¹SO₂(b) + SO₂ → SO + SO₃
812,32SO2_1B1,32SO2,,32SO,32SO3,4.00d-12
813,33SO2_1B1,33SO2,,33SO,33SO3,4.00d-12
814,34SO2_1B1,34SO2,,34SO,34SO3,4.00d-12
815,36SO2_1B1,36SO2,,36SO,36SO3,4.00d-12
816,32SO2_1B1,33SO2,,32SO,33SO3,4.00d-12
817,32SO2_1B1,34SO2,,32SO,34SO3,4.00d-12
818,32SO2_1B1,36SO2,,32SO,36SO3,4.00d-12
819,33SO2_1B1,32SO2,,33SO,32SO3,4.00d-12
820,33SO2_1B1,34SO2,,33SO,34SO3,4.00d-12
821,33SO2_1B1,36SO2,,33SO,36SO3,4.00d-12
822,34SO2_1B1,32SO2,,34SO,32SO3,4.00d-12
823,34SO2_1B1,33SO2,,34SO,33SO3,4.00d-12
824,34SO2_1B1,36SO2,,34SO,36SO3,4.00d-12
825,36SO2_1B1,32SO2,,36SO,32SO3,4.00d-12
826,36SO2_1B1,33SO2,,36SO,33SO3,4.00d-12
827,36SO2_1B1,34SO2,,36SO,34SO3,4.00d-12

# ³SO₂ → SO₂
828,32SO2_3B1,,,32SO2,,1.10d03
829,33SO2_3B1,,,33SO2,,1.10d03
830,34SO2_3B1,,,34SO2,,1.10d03
831,36SO2_3B1,,,36SO2,,1.10d03

# ³SO₂ + SO₂ → SO + SO₃
832,32SO2_3B1,32SO2,,32SO,32SO3,7.00d-14
833,33SO2_3B1,33SO2,,33SO,33SO3,7.00d-14
834,34SO2_3B1,34SO2,,34SO,34SO3,7.00d-14
835,36SO2_3B1,36SO2,,36SO,36SO3,7.00d-14
836,32SO2_3B1,33SO2,,32SO,33SO3,7.00d-14
837,32SO2_3B1,34SO2,,32SO,34SO3,7.00d-14
838,32SO2_3B1,36SO2,,32SO,36SO3,7.00d-14
839,33SO2_3B1,32SO2,,33SO,32SO3,7.00d-14
840,33SO2_3B1,34SO2,,33SO,34SO3,7.00d-14
841,33SO2_3B1,36SO2,,33SO,36SO3,7.00d-14
842,34SO2_3B1,32SO2,,34SO,32SO3,7.00d-14
843,34SO2_3B1,33SO2,,34SO,33SO3,7.00d-14
844,34SO2_3B1,36SO2,,34SO,36SO3,7.00d-14
845,36SO2_3B1,32SO2,,36SO,32SO3,7.00d-14
846,36SO2_3B1,33SO2,,36SO,33SO3,7.00d-14
847,36SO2_3B1,34SO2,,36SO,34SO3,7.00d-14

# S + S + M → S₂ + M
848,32S,32S,M,32S32S,M,1.03d-30
849,32S,33S,M,32S33S,M,2.06d-30
850,32S,34S,M,32S34S,M,2.06d-30
851,32S,36S,M,32S36S,M,2.06d-30
852,33S,34S,M,33S34S,M,2.06d-30
853,33S,36S,M,33S36S,M,2.06d-30
854,34S,36S,M,34S36S,M,2.06d-30
855,33S,33S,M,33S33S,M,1.03d-30
856,34S,34S,M,34S34S,M,1.03d-30
857,36S,36S,M,36S36S,M,1.03d-30

# S + S₂ + M → S₃ + M
858,32S,32S32S,M,32S32S32S,M,1.03d-30
859,32S,33S33S,M,32S33S33S,M,1.03d-30
860,32S,34S34S,M,32S34S34S,M,1.03d-30
861,32S,36S36S,M,32S36S36S,M,1.03d-30
862,32S,32S33S,M,32S32S33S,M,1.03d-30
863,32S,32S34S,M,32S32S34S,M,1.03d-30
864,32S,32S36S,M,32S32S36S,M,1.03d-30
865,32S,33S34S,M,32S33S34S,M,1.03d-30
866,32S,33S36S,M,32S33S36S,M,1.03d-30
867,32S,34S36S,M,32S34S36S,M,1.03d-30
868,33S,32S32S,M,32S32S33S,M,1.03d-30
869,33S,33S33S,M,33S33S33S,M,1.03d-30
870,33S,34S34S,M,33S34S34S,M,1.03d-30
871,33S,36S36S,M,33S36S36S,M,1.03d-30
872,33S,32S33S,M,32S33S33S,M,1.03d-30
873,33S,32S34S,M,32S33S34S,M,1.03d-30
874,33S,32S36S,M,32S33S36S,M,1.03d-30
875,33S,33S34S,M,33S33S34S,M,1.03d-30
876,33S,33S36S,M,33S33S36S,M,1.03d-30
877,33S,34S36S,M,33S34S36S,M,1.03d-30
878,34S,32S32S,M,32S32S34S,M,1.03d-30
879,34S,33S33S,M,33S33S34S,M,1.03d-30
880,34S,34S34S,M,34S34S34S,M,1.03d-30
881,34S,36S36S,M,34S36S36S,M,1.03d-30
882,34S,32S33S,M,32S33S34S,M,1.03d-30
883,34S,32S34S,M,32S34S34S,M,1.03d-30
884,34S,32S36S,M,32S34S36S,M,1.03d-30
885,34S,33S34S,M,33S34S34S,M,1.03d-30
886,34S,33S36S,M,33S34S36S,M,1.03d-30
887,34S,34S36S,M,34S34S36S,M,1.03d-30
888,36S,32S32S,M,32S32S36S,M,1.03d-30
889,36S,33S33S,M,33S33S36S,M,1.03d-30
890,36S,34S34S,M,34S34S36S,M,1.03d-30
891,36S,36S36S,M,36S36S36S,M,1.03d-30
892,36S,32S33S,M,32S33S36S,M,1.03d-30
893,36S,32S34S,M,32S34S36S,M,1.03d-30
894,36S,32S36S,M,32S36S36S,M,1.03d-30
895,36S,33S34S,M,33S34S36S,M,1.03d-30
896,36S,33S36S,M,33S36S36S,M,1.03d-30
897,36S,34S36S,M,34S36S36S,M,1.03d-30

# S + S₃ → S₂ + S₂
898,32S,32S32S32S,,32S32S,32S32S,8.000000000000d-11
899,32S,32S32S33S,,32S32S,32S33S,8.000000000000d-11
900,32S,32S32S34S,,32S32S,32S34S,8.000000000000d-11
901,32S,32S32S36S,,32S32S,32S36S,8.000000000000d-11
902,32S,33S33S33S,,32S33S,33S33S,8.000000000000d-11
903,32S,34S34S34S,,32S34S,34S34S,8.000000000000d-11
904,32S,36S36S36S,,32S36S,36S36S,8.000000000000d-11
905,32S,32S33S33S,,32S32S,33S33S,2.666666666667d-11
906,32S,32S33S33S,,32S33S,32S33S,5.333333333333d-11
907,32S,32S33S34S,,32S32S,33S34S,2.666666666667d-11
908,32S,32S33S34S,,32S33S,32S34S,5.333333333333d-11
909,32S,32S33S36S,,32S32S,33S36S,2.666666666667d-11
910,32S,32S33S36S,,32S33S,32S36S,5.333333333333d-11
911,32S,32S34S34S,,32S32S,34S34S,2.666666666667d-11
912,32S,32S34S34S,,32S34S,32S34S,5.333333333333d-11
913,32S,32S34S36S,,32S32S,34S36S,2.666666666667d-11
914,32S,32S34S36S,,32S34S,32S36S,5.333333333333d-11
915,32S,32S36S36S,,32S32S,36S36S,2.666666666667d-11
916,32S,32S36S36S,,32S36S,32S36S,5.333333333333d-11
917,32S,33S33S34S,,32S33S,33S34S,5.333333333333d-11
918,32S,33S33S34S,,32S34S,33S33S,2.666666666667d-11
919,32S,33S33S36S,,32S33S,33S36S,5.333333333333d-11
920,32S,33S33S36S,,32S36S,33S33S,2.666666666667d-11
921,32S,33S34S34S,,32S33S,34S34S,2.666666666667d-11
922,32S,33S34S34S,,32S34S,33S34S,5.333333333333d-11
923,32S,33S34S36S,,32S33S,34S36S,2.666666666667d-11
924,32S,33S34S36S,,32S34S,33S36S,2.666666666667d-11
925,32S,33S34S36S,,32S36S,33S34S,2.666666666667d-11
926,32S,33S36S36S,,32S33S,36S36S,2.666666666667d-11
927,32S,33S36S36S,,32S36S,33S36S,5.333333333333d-11
928,32S,34S34S36S,,32S34S,34S36S,5.333333333333d-11
929,32S,34S34S36S,,32S36S,34S34S,2.666666666667d-11
930,32S,34S36S36S,,32S34S,36S36S,2.666666666667d-11
931,32S,34S36S36S,,32S36S,34S36S,5.333333333333d-11
932,33S,32S33S33S,,32S33S,33S33S,8.000000000000d-11
933,33S,32S33S36S,,32S33S,33S36S,5.333333333333d-11
934,33S,32S33S36S,,33S33S,32S36S,2.666666666667d-11
935,33S,33S33S36S,,33S33S,33S36S,8.000000000000d-11
936,33S,33S33S33S,,33S33S,33S33S,8.000000000000d-11
937,33S,32S34S34S,,32S33S,34S34S,2.666666666667d-11
938,33S,32S34S34S,,33S34S,32S34S,5.333333333333d-11
939,33S,34S34S36S,,33S34S,34S36S,5.333333333333d-11
940,33S,34S34S36S,,33S36S,34S34S,2.666666666667d-11
941,33S,33S34S34S,,33S33S,34S34S,2.666666666667d-11
942,33S,33S34S34S,,33S34S,33S34S,5.333333333333d-11
943,33S,34S36S36S,,33S34S,36S36S,2.666666666667d-11
944,33S,34S36S36S,,33S36S,34S36S,5.333333333333d-11
945,33S,33S34S36S,,33S33S,34S36S,2.666666666667d-11
946,33S,33S34S36S,,33S34S,33S36S,5.333333333333d-11
947,33S,32S36S36S,,32S33S,36S36S,2.666666666667d-11
948,33S,32S36S36S,,33S36S,32S36S,5.333333333333d-11
949,33S,32S32S36S,,32S33S,32S36S,5.333333333333d-11
950,33S,32S32S36S,,33S36S,32S32S,2.666666666667d-11
951,33S,32S32S32S,,32S33S,32S32S,8.000000000000d-11
952,33S,34S34S34S,,33S34S,34S34S,8.000000000000d-11
953,33S,36S36S36S,,33S36S,36S36S,8.000000000000d-11
954,33S,32S33S34S,,32S33S,33S34S,5.333333333333d-11
955,33S,32S33S34S,,33S33S,32S34S,2.666666666667d-11
956,33S,32S34S36S,,32S33S,34S36S,2.666666666667d-11
957,33S,32S34S36S,,33S34S,32S36S,2.666666666667d-11
958,33S,32S34S36S,,33S36S,32S34S,2.666666666667d-11
959,33S,32S32S34S,,32S33S,32S34S,5.333333333333d-11
960,33S,32S32S34S,,33S34S,32S32S,2.666666666667d-11
961,33S,33S36S36S,,33S36S,33S36S,5.333333333333d-11
962,33S,33S36S36S,,33S33S,36S36S,2.666666666667d-11
963,33S,32S32S33S,,32S33S,32S33S,5.333333333333d-11
964,33S,32S32S33S,,33S33S,32S32S,2.666666666667d-11
965,33S,33S33S34S,,33S33S,33S34S,8.000000000000d-11
966,34S,32S33S33S,,32S34S,33S33S,2.666666666667d-11
967,34S,32S33S33S,,33S34S,32S33S,5.333333333333d-11
968,34S,32S33S36S,,32S34S,33S36S,2.666666666667d-11
969,34S,32S33S36S,,33S34S,32S36S,2.666666666667d-11
970,34S,32S33S36S,,34S36S,32S33S,2.666666666667d-11
971,34S,33S33S36S,,33S34S,33S36S,5.333333333333d-11
972,34S,33S33S36S,,34S36S,33S33S,2.666666666667d-11
973,34S,33S33S33S,,33S34S,33S33S,8.000000000000d-11
974,34S,32S34S34S,,32S34S,34S34S,8.000000000000d-11
975,34S,34S34S36S,,34S34S,34S36S,8.000000000000d-11
976,34S,33S34S34S,,33S34S,34S34S,8.000000000000d-11
977,34S,34S36S36S,,34S36S,34S36S,5.333333333333d-11
978,34S,34S36S36S,,34S34S,36S36S,2.666666666667d-11
979,34S,33S34S36S,,33S34S,34S36S,5.333333333333d-11
980,34S,33S34S36S,,34S34S,33S36S,2.666666666667d-11
981,34S,32S36S36S,,32S34S,36S36S,2.666666666667d-11
982,34S,32S36S36S,,34S36S,32S36S,5.333333333333d-11
983,34S,32S32S36S,,32S34S,32S36S,5.333333333333d-11
984,34S,32S32S36S,,34S36S,32S32S,2.666666666667d-11
985,34S,32S32S32S,,32S34S,32S32S,8.000000000000d-11
986,34S,34S34S34S,,34S34S,34S34S,8.000000000000d-11
987,34S,36S36S36S,,34S36S,36S36S,8.000000000000d-11
988,34S,32S33S34S,,32S34S,33S34S,5.333333333333d-11
989,34S,32S33S34S,,34S34S,32S33S,2.666666666667d-11
990,34S,32S34S36S,,32S34S,34S36S,5.333333333333d-11
991,34S,32S34S36S,,34S36S,32S34S,2.666666666667d-11
992,34S,32S32S34S,,32S34S,32S34S,5.333333333333d-11
993,34S,32S32S34S,,34S34S,32S32S,2.666666666667d-11
994,34S,33S36S36S,,33S34S,36S36S,2.666666666667d-11
995,34S,33S36S36S,,34S36S,33S36S,5.333333333333d-11
996,34S,32S32S33S,,32S34S,32S33S,5.333333333333d-11
997,34S,32S32S33S,,33S34S,32S32S,2.666666666667d-11
998,34S,33S33S34S,,33S34S,33S34S,5.333333333333d-11
999,34S,33S33S34S,,34S34S,33S33S,2.666666666667d-11
1000,36S,32S33S33S,,32S36S,33S33S,2.666666666667d-11
1001,36S,32S33S33S,,33S36S,32S33S,5.333333333333d-11
1002,36S,32S33S36S,,32S36S,33S36S,5.333333333333d-11
1003,36S,32S33S36S,,36S36S,32S33S,2.666666666667d-11
1004,36S,33S33S36S,,33S36S,33S36S,5.333333333333d-11
1005,36S,33S33S36S,,36S36S,33S33S,2.666666666667d-11
1006,36S,33S33S33S,,33S36S,33S33S,8.000000000000d-11
1007,36S,32S34S34S,,32S36S,34S34S,2.666666666667d-11
1008,36S,32S34S34S,,34S36S,32S34S,5.333333333333d-11
1009,36S,34S34S36S,,34S36S,34S36S,5.333333333333d-11
1010,36S,34S34S36S,,36S36S,34S34S,2.666666666667d-11
1011,36S,33S34S34S,,33S36S,34S34S,2.666666666667d-11
1012,36S,33S34S34S,,34S36S,33S34S,5.333333333333d-11
1013,36S,34S36S36S,,34S36S,36S36S,8.000000000000d-11
1014,36S,33S34S36S,,33S36S,34S36S,5.333333333333d-11
1015,36S,33S34S36S,,36S36S,33S34S,2.666666666667d-11
1016,36S,32S36S36S,,32S36S,36S36S,8.000000000000d-11
1017,36S,32S32S36S,,32S36S,32S36S,5.333333333333d-11
1018,36S,32S32S36S,,36S36S,32S32S,2.666666666667d-11
1019,36S,32S32S32S,,32S36S,32S32S,8.000000000000d-11
1020,36S,34S34S34S,,34S36S,34S34S,8.000000000000d-11
1021,36S,36S36S36S,,36S36S,36S36S,8.000000000000d-11
1022,36S,32S33S34S,,32S36S,33S34S,2.666666666667d-11
1023,36S,32S33S34S,,33S36S,32S34S,2.666666666667d-11
1024,36S,32S33S34S,,34S36S,32S33S,2.666666666667d-11
1025,36S,32S34S36S,,32S36S,34S36S,5.333333333333d-11
1026,36S,32S34S36S,,36S36S,32S34S,2.666666666667d-11
1027,36S,32S32S34S,,32S36S,32S34S,5.333333333333d-11
1028,36S,32S32S34S,,34S36S,32S32S,2.666666666667d-11
1029,36S,33S36S36S,,33S36S,36S36S,8.000000000000d-11
1030,36S,32S32S33S,,32S36S,32S33S,5.333333333333d-11
1031,36S,32S32S33S,,33S36S,32S32S,2.666666666667d-11
1032,36S,33S33S34S,,33S36S,33S34S,5.333333333333d-11
1033,36S,33S33S34S,,34S36S,33S33S,2.666666666667d-11

# S + S₃+ M → S₄ + M
1034,32S,32S32S32S,M,32S32S32S32S,M,2.23d-29
1035,32S,32S32S33S,M,32S32S32S33S,M,2.23d-29
1036,32S,32S32S34S,M,32S32S32S34S,M,2.23d-29
1037,32S,32S32S36S,M,32S32S32S36S,M,2.23d-29
1038,32S,32S33S33S,M,32S32S33S33S,M,2.23d-29
1039,32S,32S33S34S,M,32S32S33S34S,M,2.23d-29
1040,32S,32S33S36S,M,32S32S33S36S,M,2.23d-29
1041,32S,32S34S34S,M,32S32S34S34S,M,2.23d-29
1042,32S,32S34S36S,M,32S32S34S36S,M,2.23d-29
1043,32S,32S36S36S,M,32S32S36S36S,M,2.23d-29
1044,32S,33S33S33S,M,32S33S33S33S,M,2.23d-29
1045,32S,33S33S34S,M,32S33S33S34S,M,2.23d-29
1046,32S,33S33S36S,M,32S33S33S36S,M,2.23d-29
1047,32S,33S34S34S,M,32S33S34S34S,M,2.23d-29
1048,32S,33S34S36S,M,32S33S34S36S,M,2.23d-29
1049,32S,33S36S36S,M,32S33S36S36S,M,2.23d-29
1050,32S,34S34S34S,M,32S34S34S34S,M,2.23d-29
1051,32S,34S34S36S,M,32S34S34S36S,M,2.23d-29
1052,32S,34S36S36S,M,32S34S36S36S,M,2.23d-29
1053,32S,36S36S36S,M,32S36S36S36S,M,2.23d-29
1054,33S,32S32S32S,M,32S32S32S33S,M,2.23d-29
1055,33S,32S32S33S,M,32S32S33S33S,M,2.23d-29
1056,33S,32S32S34S,M,32S32S33S34S,M,2.23d-29
1057,33S,32S32S36S,M,32S32S33S36S,M,2.23d-29
1058,33S,32S33S33S,M,32S33S33S33S,M,2.23d-29
1059,33S,32S33S34S,M,32S33S33S34S,M,2.23d-29
1060,33S,32S33S36S,M,32S33S33S36S,M,2.23d-29
1061,33S,32S34S34S,M,32S33S34S34S,M,2.23d-29
1062,33S,32S34S36S,M,32S33S34S36S,M,2.23d-29
1063,33S,32S36S36S,M,32S33S36S36S,M,2.23d-29
1064,33S,33S33S33S,M,33S33S33S33S,M,2.23d-29
1065,33S,33S33S34S,M,33S33S33S34S,M,2.23d-29
1066,33S,33S33S36S,M,33S33S33S36S,M,2.23d-29
1067,33S,33S34S34S,M,33S33S34S34S,M,2.23d-29
1068,33S,33S34S36S,M,33S33S34S36S,M,2.23d-29
1069,33S,33S36S36S,M,33S33S36S36S,M,2.23d-29
1070,33S,34S34S34S,M,33S34S34S34S,M,2.23d-29
1071,33S,34S34S36S,M,33S34S34S36S,M,2.23d-29
1072,33S,34S36S36S,M,33S34S36S36S,M,2.23d-29
1073,33S,36S36S36S,M,33S36S36S36S,M,2.23d-29
1074,34S,32S32S32S,M,32S32S32S34S,M,2.23d-29
1075,34S,32S32S33S,M,32S32S33S34S,M,2.23d-29
1076,34S,32S32S34S,M,32S32S34S34S,M,2.23d-29
1077,34S,32S32S36S,M,32S32S34S36S,M,2.23d-29
1078,34S,32S33S33S,M,32S33S33S34S,M,2.23d-29
1079,34S,32S33S34S,M,32S33S34S34S,M,2.23d-29
1080,34S,32S33S36S,M,32S33S34S36S,M,2.23d-29
1081,34S,32S34S34S,M,32S34S34S34S,M,2.23d-29
1082,34S,32S34S36S,M,32S34S34S36S,M,2.23d-29
1083,34S,32S36S36S,M,32S34S36S36S,M,2.23d-29
1084,34S,33S33S33S,M,33S33S33S34S,M,2.23d-29
1085,34S,33S33S34S,M,33S33S34S34S,M,2.23d-29
1086,34S,33S33S36S,M,33S33S34S36S,M,2.23d-29
1087,34S,33S34S34S,M,33S34S34S34S,M,2.23d-29
1088,34S,33S34S36S,M,33S34S34S36S,M,2.23d-29
1089,34S,33S36S36S,M,33S34S36S36S,M,2.23d-29
1090,34S,34S34S34S,M,34S34S34S34S,M,2.23d-29
1091,34S,34S34S36S,M,34S34S34S36S,M,2.23d-29
1092,34S,34S36S36S,M,34S34S36S36S,M,2.23d-29
1093,34S,36S36S36S,M,34S36S36S36S,M,2.23d-29
1094,36S,32S32S32S,M,32S32S32S36S,M,2.23d-29
1095,36S,32S32S33S,M,32S32S33S36S,M,2.23d-29
1096,36S,32S32S34S,M,32S32S34S36S,M,2.23d-29
1097,36S,32S32S36S,M,32S32S36S36S,M,2.23d-29
1098,36S,32S33S33S,M,32S33S33S36S,M,2.23d-29
1099,36S,32S33S34S,M,32S33S34S36S,M,2.23d-29
1100,36S,32S33S36S,M,32S33S36S36S,M,2.23d-29
1101,36S,32S34S34S,M,32S34S34S36S,M,2.23d-29
1102,36S,32S34S36S,M,32S34S36S36S,M,2.23d-29
1103,36S,32S36S36S,M,32S36S36S36S,M,2.23d-29
1104,36S,33S33S33S,M,33S33S33S36S,M,2.23d-29
1105,36S,33S33S34S,M,33S33S34S36S,M,2.23d-29
1106,36S,33S33S36S,M,33S33S36S36S,M,2.23d-29
1107,36S,33S34S34S,M,33S34S34S36S,M,2.23d-29
1108,36S,33S34S36S,M,33S34S36S36S,M,2.23d-29
1109,36S,33S36S36S,M,33S36S36S36S,M,2.23d-29
1110,36S,34S34S34S,M,34S34S34S36S,M,2.23d-29
1111,36S,34S34S36S,M,34S34S36S36S,M,2.23d-29
1112,36S,34S36S36S,M,34S36S36S36S,M,2.23d-29
1113,36S,36S36S36S,M,36S36S36S36S,M,2.23d-29

# SO + SO +M → OSSO + M
1114,32SO,32SO,M,O32S32SO,M,4.41d-31
1115,32SO,33SO,M,O32S33SO,M,8.82d-31
1116,32SO,34SO,M,O32S34SO,M,8.82d-31
1117,32SO,36SO,M,O32S36SO,M,8.82d-31
1118,33SO,33SO,M,O33S33SO,M,4.41d-31
1119,33SO,34SO,M,O33S34SO,M,8.82d-31
1120,33SO,36SO,M,O33S36SO,M,8.82d-31
1121,34SO,34SO,M,O34S34SO,M,4.41d-31
1122,34SO,36SO,M,O34S36SO,M,8.82d-31
1123,36SO,36SO,M,O36S36SO,M,4.41d-31

# SO + OSSO → SO₂ + S₂O
1124,32SO,O32S32SO,,32S32SO,32SO2,3.3d-14
1125,32SO,O32S33SO,,32S33SO,32SO2,3.3d-14
1126,32SO,O32S34SO,,32S34SO,32SO2,3.3d-14
1127,32SO,O32S36SO,,32S36SO,32SO2,3.3d-14
1128,32SO,O33S33SO,,33S33SO,32SO2,3.3d-14
1129,32SO,O33S34SO,,33S34SO,32SO2,3.3d-14
1130,32SO,O33S36SO,,33S36SO,32SO2,3.3d-14
1131,32SO,O34S34SO,,34S34SO,32SO2,3.3d-14
1132,32SO,O34S36SO,,34S36SO,32SO2,3.3d-14
1133,32SO,O36S36SO,,36S36SO,32SO2,3.3d-14
1134,33SO,O32S32SO,,32S32SO,33SO2,3.3d-14
1135,33SO,O32S33SO,,32S33SO,33SO2,3.3d-14
1136,33SO,O32S34SO,,32S34SO,33SO2,3.3d-14
1137,33SO,O32S36SO,,32S36SO,33SO2,3.3d-14
1138,33SO,O33S33SO,,33S33SO,33SO2,3.3d-14
1139,33SO,O33S34SO,,33S34SO,33SO2,3.3d-14
1140,33SO,O33S36SO,,33S36SO,33SO2,3.3d-14
1141,33SO,O34S34SO,,34S34SO,33SO2,3.3d-14
1142,33SO,O34S36SO,,34S36SO,33SO2,3.3d-14
1143,33SO,O36S36SO,,36S36SO,33SO2,3.3d-14
1144,34SO,O32S32SO,,32S32SO,34SO2,3.3d-14
1145,34SO,O32S33SO,,32S33SO,34SO2,3.3d-14
1146,34SO,O32S34SO,,32S34SO,34SO2,3.3d-14
1147,34SO,O32S36SO,,32S36SO,34SO2,3.3d-14
1148,34SO,O33S33SO,,33S33SO,34SO2,3.3d-14
1149,34SO,O33S34SO,,33S34SO,34SO2,3.3d-14
1150,34SO,O33S36SO,,33S36SO,34SO2,3.3d-14
1151,34SO,O34S34SO,,34S34SO,34SO2,3.3d-14
1152,34SO,O34S36SO,,34S36SO,34SO2,3.3d-14
1153,34SO,O36S36SO,,36S36SO,34SO2,3.3d-14
1154,36SO,O32S32SO,,32S32SO,36SO2,3.3d-14
1155,36SO,O32S33SO,,32S33SO,36SO2,3.3d-14
1156,36SO,O32S34SO,,32S34SO,36SO2,3.3d-14
1157,36SO,O32S36SO,,32S36SO,36SO2,3.3d-14
1158,36SO,O33S33SO,,33S33SO,36SO2,3.3d-14
1159,36SO,O33S34SO,,33S34SO,36SO2,3.3d-14
1160,36SO,O33S36SO,,33S36SO,36SO2,3.3d-14
1161,36SO,O34S34SO,,34S34SO,36SO2,3.3d-14
1162,36SO,O34S36SO,,34S36SO,36SO2,3.3d-14
1163,36SO,O36S36SO,,36S36SO,36SO2,3.3d-14

# S₂O + O → SO + SO
1164,32S32SO,O,,32SO,32SO,1.5d-12
1165,33S33SO,O,,33SO,33SO,1.5d-12
1166,34S34SO,O,,34SO,34SO,1.5d-12
1167,36S36SO,O,,36SO,36SO,1.5d-12
1168,32S33SO,O,,32SO,33SO,1.5d-12
1169,32S34SO,O,,32SO,34SO,1.5d-12
1170,32S36SO,O,,32SO,36SO,1.5d-12
1171,33S34SO,O,,33SO,34SO,1.5d-12
1172,33S36SO,O,,33SO,36SO,1.5d-12
1173,34S36SO,O,,34SO,36SO,1.5d-12
#1
# S₂O + SO → S₂ + SO₂
1174,32S32SO,32SO,,32S32S,32SO2,1.0d-14
1175,32S32SO,33SO,,32S32S,33SO2,1.0d-14
1176,32S32SO,34SO,,32S32S,34SO2,1.0d-14
1177,32S32SO,36SO,,32S32S,36SO2,1.0d-14
1178,32S33SO,32SO,,32S33S,32SO2,1.0d-14
1179,32S33SO,33SO,,32S33S,33SO2,1.0d-14
1180,32S33SO,34SO,,32S33S,34SO2,1.0d-14
1181,32S33SO,36SO,,32S33S,36SO2,1.0d-14
1182,32S34SO,32SO,,32S34S,32SO2,1.0d-14
1183,32S34SO,33SO,,32S34S,33SO2,1.0d-14
1184,32S34SO,34SO,,32S34S,34SO2,1.0d-14
1185,32S34SO,36SO,,32S34S,36SO2,1.0d-14
1186,32S36SO,32SO,,32S36S,32SO2,1.0d-14
1187,32S36SO,33SO,,32S36S,33SO2,1.0d-14
1188,32S36SO,34SO,,32S36S,34SO2,1.0d-14
1189,32S36SO,36SO,,32S36S,36SO2,1.0d-14
1190,33S33SO,32SO,,33S33S,32SO2,1.0d-14
1191,33S33SO,33SO,,33S33S,33SO2,1.0d-14
1192,33S33SO,34SO,,33S33S,34SO2,1.0d-14
1193,33S33SO,36SO,,33S33S,36SO2,1.0d-14
1194,33S34SO,32SO,,33S34S,32SO2,1.0d-14
1195,33S34SO,33SO,,33S34S,33SO2,1.0d-14
1196,33S34SO,34SO,,33S34S,34SO2,1.0d-14
1197,33S34SO,36SO,,33S34S,36SO2,1.0d-14
1198,33S36SO,32SO,,33S36S,32SO2,1.0d-14
1199,33S36SO,33SO,,33S36S,33SO2,1.0d-14
1200,33S36SO,34SO,,33S36S,34SO2,1.0d-14
1201,33S36SO,36SO,,33S36S,36SO2,1.0d-14
1202,34S34SO,32SO,,34S34S,32SO2,1.0d-14
1203,34S34SO,33SO,,34S34S,33SO2,1.0d-14
1204,34S34SO,34SO,,34S34S,34SO2,1.0d-14
1205,34S34SO,36SO,,34S34S,36SO2,1.0d-14
1206,34S36SO,32SO,,34S36S,32SO2,1.0d-14
1207,34S36SO,33SO,,34S36S,33SO2,1.0d-14
1208,34S36SO,34SO,,34S36S,34SO2,1.0d-14
1209,34S36SO,36SO,,34S36S,36SO2,1.0d-14
1210,36S36SO,32SO,,36S36S,32SO2,1.0d-14
1211,36S36SO,33SO,,36S36S,33SO2,1.0d-14
1212,36S36SO,34SO,,36S36S,34SO2,1.0d-14
1213,36S36SO,36SO,,36S36S,36SO2,1.0d-14
#2
# S₂ + O → SO + S
1214,32S32S,O,,32SO,32S,1.66d-11
1215,33S33S,O,,33SO,33S,1.66d-11
1216,34S34S,O,,34SO,34S,1.66d-11
1217,36S36S,O,,36SO,36S,1.66d-11
1218,32S33S,O,,32SO,33S,8.30d-12
1219,32S33S,O,,33SO,32S,8.30d-12
1220,32S34S,O,,32SO,34S,8.30d-12
1221,32S34S,O,,34SO,32S,8.30d-12
1222,32S36S,O,,32SO,36S,8.30d-12
1223,32S36S,O,,36SO,32S,8.30d-12
1224,33S34S,O,,33SO,34S,8.30d-12
1225,33S34S,O,,34SO,33S,8.30d-12
1226,33S36S,O,,33SO,36S,8.30d-12
1227,33S36S,O,,36SO,33S,8.30d-12
1228,34S36S,O,,34SO,36S,8.30d-12
1229,34S36S,O,,36SO,34S,8.30d-12
#3
# S + SO + M →S₂O + M
1230,32S,32SO,M,32S32SO,M,3.72d-31
1231,32S,33SO,M,32S33SO,M,3.72d-31
1232,32S,34SO,M,32S34SO,M,3.72d-31
1233,32S,36SO,M,32S36SO,M,3.72d-31
1234,33S,32SO,M,32S33SO,M,3.72d-31
1235,33S,33SO,M,33S33SO,M,3.72d-31
1236,33S,34SO,M,33S34SO,M,3.72d-31
1237,33S,36SO,M,33S36SO,M,3.72d-31
1238,34S,32SO,M,32S34SO,M,3.72d-31
1239,34S,33SO,M,33S34SO,M,3.72d-31
1240,34S,34SO,M,34S34SO,M,3.72d-31
1241,34S,36SO,M,34S36SO,M,3.72d-31
1242,36S,32SO,M,32S36SO,M,3.72d-31
1243,36S,33SO,M,33S36SO,M,3.72d-31
1244,36S,34SO,M,34S36SO,M,3.72d-31
1245,36S,36SO,M,36S36SO,M,3.72d-31

# SO + S₃ → S₂ + S₂O
