0          References for Cross Section of 33S33S33S        
           Frandsen., 2020 (No isotope)   
0 Branching ratio for 33S33S33S       Total        1 branch
Lambda  Total   33S/33S33S
3521.2  1.33E-17  1.33E-17
3526.2  1.39E-17  1.39E-17
3531.2  1.46E-17  1.46E-17
3536.2  1.53E-17  1.53E-17
3541.3  1.60E-17  1.60E-17
3546.4  1.68E-17  1.68E-17
3551.4  1.75E-17  1.75E-17
3556.5  1.83E-17  1.83E-17
3561.6  1.91E-17  1.91E-17
3566.8  1.99E-17  1.99E-17
3571.9  2.08E-17  2.08E-17
3577.1  2.16E-17  2.16E-17
3582.2  2.25E-17  2.25E-17
3587.4  2.34E-17  2.34E-17
3592.6  2.43E-17  2.43E-17
3597.8  2.52E-17  2.52E-17
3603  2.62E-17  2.62E-17
3608.3  2.71E-17  2.71E-17
3613.5  2.80E-17  2.80E-17
3618.8  2.89E-17  2.89E-17
3624.1  2.98E-17  2.98E-17
3629.4  3.06E-17  3.06E-17
3634.7  3.14E-17  3.14E-17
3640.1  3.22E-17  3.22E-17
3645.4  3.29E-17  3.29E-17
3650.8  3.36E-17  3.36E-17
3656.2  3.43E-17  3.43E-17
3661.6  3.49E-17  3.49E-17
3667  3.54E-17  3.54E-17
3672.4  3.59E-17  3.59E-17
3677.9  3.63E-17  3.63E-17
3683.3  3.66E-17  3.66E-17
3688.8  3.69E-17  3.69E-17
3694.3  3.72E-17  3.72E-17
3699.8  3.74E-17  3.74E-17
3705.3  3.75E-17  3.75E-17
3710.9  3.76E-17  3.76E-17
3716.4  3.76E-17  3.76E-17
3722  3.76E-17  3.76E-17
3727.6  3.76E-17  3.76E-17
3733.2  3.76E-17  3.76E-17
3738.9  3.75E-17  3.75E-17
3744.5  3.74E-17  3.74E-17
3750.2  3.72E-17  3.72E-17
3755.8  3.71E-17  3.71E-17
3761.5  3.69E-17  3.69E-17
3767.3  3.67E-17  3.67E-17
3773  3.65E-17  3.65E-17
3778.7  3.63E-17  3.63E-17
3784.5  3.60E-17  3.60E-17
3790.3  3.58E-17  3.58E-17
3796.1  3.55E-17  3.55E-17
3801.9  3.51E-17  3.51E-17
3807.8  3.48E-17  3.48E-17
3813.6  3.44E-17  3.44E-17
3819.5  3.40E-17  3.40E-17
3825.4  3.36E-17  3.36E-17
3831.3  3.31E-17  3.31E-17
3837.2  3.26E-17  3.26E-17
3843.2  3.20E-17  3.20E-17
3849.1  3.15E-17  3.15E-17
3855.1  3.08E-17  3.08E-17
3861.1  3.02E-17  3.02E-17
3867.1  2.95E-17  2.95E-17
3873.2  2.88E-17  2.88E-17
3879.2  2.80E-17  2.80E-17
3885.3  2.73E-17  2.73E-17
3891.4  2.65E-17  2.65E-17
3897.5  2.56E-17  2.56E-17
3903.7  2.48E-17  2.48E-17
3909.8  2.39E-17  2.39E-17
3916  2.31E-17  2.31E-17
3922.2  2.22E-17  2.22E-17
3928.4  2.14E-17  2.14E-17
3934.6  2.05E-17  2.05E-17
3940.9  1.96E-17  1.96E-17
3947.2  1.88E-17  1.88E-17
3953.5  1.79E-17  1.79E-17
3959.8  1.71E-17  1.71E-17
3966.1  1.63E-17  1.63E-17
3972.5  1.56E-17  1.56E-17
3978.8  1.48E-17  1.48E-17
3985.2  1.41E-17  1.41E-17
3991.6  1.34E-17  1.34E-17
3998.1  1.27E-17  1.27E-17
4004.5  1.21E-17  1.21E-17
4011  1.15E-17  1.15E-17
4017.5  1.09E-17  1.09E-17
4024  1.03E-17  1.03E-17
4030.6  9.76E-18  9.76E-18
4037.1  9.24E-18  9.24E-18
4043.7  8.75E-18  8.75E-18
4050.3  8.27E-18  8.27E-18
4056.9  7.82E-18  7.82E-18
4063.6  7.39E-18  7.39E-18
4070.3  6.97E-18  6.97E-18
4077  6.57E-18  6.57E-18
4083.7  6.18E-18  6.18E-18
4090.4  5.81E-18  5.81E-18
4097.2  5.45E-18  5.45E-18
4103.9  5.11E-18  5.11E-18
4110.7  4.78E-18  4.78E-18
4117.6  4.47E-18  4.47E-18
4124.4  4.17E-18  4.17E-18
4131.3  3.88E-18  3.88E-18
4138.2  3.60E-18  3.60E-18
4145.1  3.34E-18  3.34E-18
4152  3.09E-18  3.09E-18
4159  2.85E-18  2.85E-18
4166  2.63E-18  2.63E-18
4173  2.41E-18  2.41E-18
4180  2.21E-18  2.21E-18
4187.1  2.02E-18  2.02E-18
4194.2  1.84E-18  1.84E-18
4201.3  1.67E-18  1.67E-18
4208.4  1.52E-18  1.52E-18
4215.6  1.37E-18  1.37E-18
4222.8  1.24E-18  1.24E-18
4230  1.11E-18  1.11E-18
4237.2  9.94E-19  9.94E-19
4244.4  8.88E-19  8.88E-19
4251.7  7.90E-19  7.90E-19
4259  7.01E-19  7.01E-19
4266.3  6.20E-19  6.20E-19
4273.7  5.46E-19  5.46E-19
4281.1  4.80E-19  4.80E-19
4288.5  4.20E-19  4.20E-19
4295.9  3.66E-19  3.66E-19
4303.4  3.19E-19  3.19E-19
4310.8  2.76E-19  2.76E-19
4318.4  2.38E-19  2.38E-19
4325.9  2.05E-19  2.05E-19
4333.4  1.75E-19  1.75E-19
4341  1.50E-19  1.50E-19
4348.6  1.27E-19  1.27E-19
4356.3  1.08E-19  1.08E-19
4364  9.08E-20  9.08E-20
4371.6  7.62E-20  7.62E-20
4379.4  6.36E-20  6.36E-20
4387.1  5.29E-20  5.29E-20
4394.9  4.37E-20  4.37E-20
4402.7  3.59E-20  3.59E-20
4410.5  2.94E-20  2.94E-20
4418.4  2.39E-20  2.39E-20
4426.3  1.93E-20  1.93E-20
4434.2  1.55E-20  1.55E-20
4442.1  1.24E-20  1.24E-20
4450.1  9.80E-21  9.80E-21
4458.1  7.71E-21  7.71E-21
4466.1  6.03E-21  6.03E-21
4474.2  4.67E-21  4.67E-21
4482.3  3.60E-21  3.60E-21
4490.4  2.75E-21  2.75E-21
4498.5  2.08E-21  2.08E-21
4506.7  1.56E-21  1.56E-21
4514.9  1.17E-21  1.17E-21
4523.2  8.62E-22  8.62E-22
4531.4  6.31E-22  6.31E-22
4539.7  4.59E-22  4.59E-22
4548  3.30E-22  3.30E-22
4556.4  2.36E-22  2.36E-22
4564.8  1.67E-22  1.67E-22
4573.2  1.17E-22  1.17E-22
4581.7  8.10E-23  8.10E-23
4590.1  5.60E-23  5.60E-23
4598.6  3.80E-23  3.80E-23
4607.2  2.60E-23  2.60E-23
4615.8  1.70E-23  1.70E-23
4624.4  1.10E-23  1.10E-23
4633  8.00E-24  8.00E-24
4641.7  5.00E-24  5.00E-24
4650.4  3.00E-24  3.00E-24
4659.1  2.00E-24  2.00E-24
4667.9  1.00E-24  1.00E-24
4676.7  1.00E-24  1.00E-24
