0          References for Cross Section of 32S32S        
           Sarka et al., 2023 (4 isotopes but 10 isotopes needed=>No isotope)   
0 Branching ratio for 32S32S       Total        1 branch
Lambda  Total   32S/32S
2238.755289  6.25E-20  6.25E-20
2238.762235  5.26E-20  5.26E-20
2238.769921  9.72E-21  9.72E-21
2238.780378  2.50E-20  2.50E-20
2238.801249  1.05E-20  1.05E-20
2238.856656  1.58E-20  1.58E-20
2238.876821  1.35E-20  1.35E-20
2238.904144  1.18E-20  1.18E-20
2238.918163  3.66E-20  3.66E-20
2238.927039  4.09E-20  4.09E-20
2238.934664  1.38E-20  1.38E-20
2238.944861  2.25E-20  2.25E-20
2238.954675  2.16E-20  2.16E-20
2238.968332  1.03E-20  1.03E-20
2238.984299  3.11E-20  3.11E-20
2239.004052  1.11E-20  1.11E-20
2239.034149  2.01E-20  2.01E-20
2239.051708  1.77E-20  1.77E-20
2239.068455  2.27E-20  2.27E-20
2239.07817  2.63E-20  2.63E-20
2239.097979  1.99E-20  1.99E-20
2239.145646  1.54E-20  1.54E-20
2239.161354  2.07E-20  2.07E-20
2239.197921  1.27E-20  1.27E-20
2239.211692  2.82E-20  2.82E-20
2239.221011  4.95E-20  4.95E-20
2239.231363  2.13E-20  2.13E-20
2239.25599  1.83E-20  1.83E-20
2239.271745  1.58E-20  1.58E-20
2239.279428  2.87E-20  2.87E-20
2239.286255  1.91E-20  1.91E-20
2239.293075  1.03E-20  1.03E-20
2239.302662  1.30E-20  1.30E-20
2239.313859  1.74E-20  1.74E-20
2239.321618  3.02E-20  3.02E-20
2239.327546  1.63E-20  1.63E-20
2239.333114  2.92E-20  2.92E-20
2239.341226  1.88E-20  1.88E-20
2239.36326  1.15E-20  1.15E-20
2239.381234  2.07E-20  2.07E-20
2239.389836  2.38E-20  2.38E-20
2239.39695  4.54E-20  4.54E-20
2239.405096  4.45E-20  4.45E-20
2239.415628  8.57E-21  8.57E-21
2239.430646  1.61E-20  1.61E-20
2239.439145  2.61E-20  2.61E-20
2239.446111  5.87E-20  5.87E-20
2239.454856  1.66E-20  1.66E-20
2239.475978  1.71E-20  1.71E-20
2239.507451  1.60E-20  1.60E-20
2239.518387  1.29E-20  1.29E-20
2239.525805  5.07E-20  5.07E-20
2239.534777  1.28E-20  1.28E-20
2239.549545  1.20E-20  1.20E-20
2239.58919  1.53E-20  1.53E-20
2239.603307  4.83E-20  4.83E-20
2239.610914  2.58E-20  2.58E-20
2239.617624  3.49E-20  3.49E-20
2239.627091  3.39E-20  3.39E-20
2239.64213  1.61E-20  1.61E-20
2239.656059  2.80E-20  2.80E-20
2239.666683  2.29E-20  2.29E-20
2239.686681  1.18E-20  1.18E-20
2239.700474  1.84E-20  1.84E-20
2239.709776  2.84E-20  2.84E-20
2239.72073  9.60E-21  9.60E-21
2239.732816  3.87E-20  3.87E-20
2239.74272  2.69E-20  2.69E-20
2239.780355  1.24E-20  1.24E-20
