0          References for Cross Section of O2        Total   
O2_Ackerman(1970)_300K_176-201nm
O2_Cheung(1986)_296-300K_195-241nm                                       
O2_JPL-2010(2011)_298K_205-245nm(rec)
O2_Bogumil(2003)_293K_235-389nm                                                    
0 Branching ratio for O2       Total        1 branch
 Lambda  Total   O/O      
2670.536  9.50E-25  9.50E-25
2671.689  9.45E-25  9.45E-25
2672.842  9.49E-25  9.49E-25
2673.994  9.64E-25  9.64E-25
2675.146  9.77E-25  9.77E-25
2676.298  9.64E-25  9.64E-25
2677.449  9.70E-25  9.70E-25
2678.6  9.65E-25  9.65E-25
2679.75  9.67E-25  9.67E-25
2680.9  9.45E-25  9.45E-25
2682.05  9.16E-25  9.16E-25
2683.199  9.02E-25  9.02E-25
2684.348  9.29E-25  9.29E-25
2685.496  9.64E-25  9.64E-25
2686.644  9.90E-25  9.90E-25
2687.792  9.83E-25  9.83E-25
2688.939  9.47E-25  9.47E-25
2690.085  9.36E-25  9.36E-25
2691.232  9.20E-25  9.20E-25
2692.378  9.13E-25  9.13E-25
2693.523  8.84E-25  8.84E-25
2694.668  8.83E-25  8.83E-25
2695.813  8.75E-25  8.75E-25
2696.957  8.70E-25  8.70E-25
2698.101  8.66E-25  8.66E-25
2699.245  8.48E-25  8.48E-25
2700.388  8.29E-25  8.29E-25
2701.531  8.35E-25  8.35E-25
2702.673  8.18E-25  8.18E-25
2703.815  8.13E-25  8.13E-25
2704.957  8.05E-25  8.05E-25
2706.098  7.95E-25  7.95E-25
2707.239  7.75E-25  7.75E-25
2708.379  7.94E-25  7.94E-25
2709.519  7.92E-25  7.92E-25
2710.659  7.69E-25  7.69E-25
2711.799  7.82E-25  7.82E-25
2712.938  7.59E-25  7.59E-25
2714.076  7.67E-25  7.67E-25
2715.215  7.76E-25  7.76E-25
2716.353  8.01E-25  8.01E-25
2717.49  7.98E-25  7.98E-25
2718.628  7.91E-25  7.91E-25
2719.764  7.71E-25  7.71E-25
2720.901  7.79E-25  7.79E-25
2722.037  7.60E-25  7.60E-25
2723.173  7.56E-25  7.56E-25
2724.309  7.58E-25  7.58E-25
2725.444  7.67E-25  7.67E-25
2726.579  7.66E-25  7.66E-25
2727.713  7.59E-25  7.59E-25
2728.847  7.57E-25  7.57E-25
2729.981  7.44E-25  7.44E-25
2731.115  7.74E-25  7.74E-25
2732.248  7.60E-25  7.60E-25
2733.381  7.48E-25  7.48E-25
2734.513  7.17E-25  7.17E-25
2735.645  7.06E-25  7.06E-25
2736.777  6.98E-25  6.98E-25
2737.909  7.31E-25  7.31E-25
2739.04  7.25E-25  7.25E-25
2740.171  7.28E-25  7.28E-25
2741.301  7.22E-25  7.22E-25
2742.431  6.95E-25  6.95E-25
2743.561  6.98E-25  6.98E-25
2744.691  6.90E-25  6.90E-25
2745.82  6.90E-25  6.90E-25
2746.949  6.89E-25  6.89E-25
2748.078  7.00E-25  7.00E-25
2749.207  6.73E-25  6.73E-25
2750.335  6.84E-25  6.84E-25
2751.462  6.30E-25  6.30E-25
2752.59  6.30E-25  6.30E-25
2753.717  6.42E-25  6.42E-25
2754.844  6.30E-25  6.30E-25
2755.971  6.27E-25  6.27E-25
2757.097  6.28E-25  6.28E-25
2758.223  6.27E-25  6.27E-25
2759.349  6.39E-25  6.39E-25
2760.474  6.49E-25  6.49E-25
2761.6  6.33E-25  6.33E-25
2762.725  6.41E-25  6.41E-25
2763.849  6.20E-25  6.20E-25
2764.974  6.20E-25  6.20E-25
2766.098  6.09E-25  6.09E-25
2767.222  6.00E-25  6.00E-25
2768.345  6.11E-25  6.11E-25
2769.468  6.19E-25  6.19E-25
2770.591  6.19E-25  6.19E-25
2771.714  6.11E-25  6.11E-25
2772.837  6.08E-25  6.08E-25
2773.959  6.06E-25  6.06E-25
2775.081  5.94E-25  5.94E-25
2776.203  6.20E-25  6.20E-25
2777.324  6.16E-25  6.16E-25
2778.445  5.96E-25  5.96E-25
2779.566  5.96E-25  5.96E-25
2780.687  5.85E-25  5.85E-25
2781.807  5.79E-25  5.79E-25
2782.928  5.73E-25  5.73E-25
2784.048  5.92E-25  5.92E-25
2785.167  5.96E-25  5.96E-25
2786.287  5.70E-25  5.70E-25
2787.406  5.80E-25  5.80E-25
2788.525  5.66E-25  5.66E-25
2789.644  5.72E-25  5.72E-25
2790.762  5.61E-25  5.61E-25
2791.881  5.60E-25  5.60E-25
2792.999  5.59E-25  5.59E-25
2794.117  5.57E-25  5.57E-25
2795.234  5.56E-25  5.56E-25
2796.352  5.72E-25  5.72E-25
2797.469  5.76E-25  5.76E-25
2798.586  5.62E-25  5.62E-25
2799.703  5.46E-25  5.46E-25
2800.819  5.26E-25  5.26E-25
2801.935  5.37E-25  5.37E-25
2803.052  5.37E-25  5.37E-25
2804.167  5.47E-25  5.47E-25
2805.283  5.17E-25  5.17E-25
2806.399  5.24E-25  5.24E-25
2807.514  5.34E-25  5.34E-25
2808.629  5.11E-25  5.11E-25
2809.744  5.17E-25  5.17E-25
2810.858  5.30E-25  5.30E-25
2811.973  5.37E-25  5.37E-25
2813.087  5.22E-25  5.22E-25
2814.201  5.38E-25  5.38E-25
2815.315  5.11E-25  5.11E-25
2816.429  4.97E-25  4.97E-25
2817.542  5.03E-25  5.03E-25
2818.656  4.92E-25  4.92E-25
2819.769  5.21E-25  5.21E-25
2820.882  5.06E-25  5.06E-25
2821.994  5.08E-25  5.08E-25
2823.107  5.07E-25  5.07E-25
2824.219  4.86E-25  4.86E-25
2825.331  4.98E-25  4.98E-25
2826.443  4.92E-25  4.92E-25
2827.555  4.88E-25  4.88E-25
2828.667  4.80E-25  4.80E-25
2829.778  4.86E-25  4.86E-25
2830.89  4.80E-25  4.80E-25
2832.001  4.76E-25  4.76E-25
2833.112  4.89E-25  4.89E-25
2834.223  4.55E-25  4.55E-25
2835.333  4.66E-25  4.66E-25
2836.444  4.58E-25  4.58E-25
2837.554  4.53E-25  4.53E-25
2838.664  4.54E-25  4.54E-25
2839.774  4.54E-25  4.54E-25
2840.884  4.84E-25  4.84E-25
2841.994  4.60E-25  4.60E-25
2843.104  4.62E-25  4.62E-25
2844.213  4.56E-25  4.56E-25
2845.322  4.37E-25  4.37E-25
2846.431  4.46E-25  4.46E-25
2847.54  4.33E-25  4.33E-25
2848.649  4.44E-25  4.44E-25
2849.758  4.35E-25  4.35E-25
2850.866  4.28E-25  4.28E-25
2851.975  4.39E-25  4.39E-25
2853.083  4.46E-25  4.46E-25
2854.191  4.18E-25  4.18E-25
2855.299  4.12E-25  4.12E-25
2856.407  4.38E-25  4.38E-25
2857.515  4.32E-25  4.32E-25
2858.622  4.24E-25  4.24E-25
2859.73  4.35E-25  4.35E-25
2860.837  4.31E-25  4.31E-25
2861.944  4.25E-25  4.25E-25
2863.051  4.27E-25  4.27E-25
2864.158  4.22E-25  4.22E-25
2865.265  4.16E-25  4.16E-25
2866.372  4.09E-25  4.09E-25
2867.478  4.11E-25  4.11E-25
2868.585  4.26E-25  4.26E-25
2869.691  4.08E-25  4.08E-25
2870.797  4.05E-25  4.05E-25
2871.903  4.15E-25  4.15E-25
2873.009  4.12E-25  4.12E-25
2874.115  4.07E-25  4.07E-25
2875.221  4.14E-25  4.14E-25
2876.327  4.13E-25  4.13E-25
2877.432  4.07E-25  4.07E-25
2878.538  3.80E-25  3.80E-25
2879.643  3.81E-25  3.81E-25
2880.748  3.82E-25  3.82E-25
2881.853  4.10E-25  4.10E-25
2882.958  4.11E-25  4.11E-25
2884.063  4.08E-25  4.08E-25
2885.168  3.90E-25  3.90E-25
2886.273  3.80E-25  3.80E-25
2887.377  3.91E-25  3.91E-25
2888.482  3.76E-25  3.76E-25
2889.586  3.61E-25  3.61E-25
2890.691  3.59E-25  3.59E-25
2891.795  3.81E-25  3.81E-25
2892.899  3.74E-25  3.74E-25
2894.003  3.77E-25  3.77E-25
2895.107  3.95E-25  3.95E-25
2896.211  3.96E-25  3.96E-25
2897.315  3.74E-25  3.74E-25
2898.419  3.78E-25  3.78E-25
2899.522  3.82E-25  3.82E-25
2900.626  3.80E-25  3.80E-25
2901.729  3.66E-25  3.66E-25
2902.833  3.81E-25  3.81E-25
