0          References for Cross Section of 34SO        32S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1908.703098  9.34E-18  9.34E-18
1908.70939  1.07E-17  1.07E-17
1908.720637  3.68E-18  3.68E-18
1908.731416  7.94E-18  7.94E-18
1908.738558  1.77E-17  1.77E-17
1908.744272  5.90E-18  5.90E-18
1908.750528  1.04E-17  1.04E-17
1908.760781  4.46E-18  4.46E-18
1908.777495  5.73E-18  5.73E-18
1908.795594  5.38E-18  5.38E-18
1908.826284  5.30E-18  5.30E-18
1908.837056  1.41E-17  1.41E-17
1908.84371  8.02E-18  8.02E-18
1908.849051  8.99E-18  8.99E-18
1908.854661  2.18E-17  2.18E-17
1908.860552  9.83E-18  9.83E-18
1908.866865  1.13E-17  1.13E-17
1908.885858  3.80E-18  3.80E-18
1908.905657  9.07E-18  9.07E-18
1908.919543  4.03E-18  4.03E-18
1908.943681  6.52E-18  6.52E-18
1908.958201  5.74E-18  5.74E-18
1908.971061  1.11E-17  1.11E-17
1908.979618  1.18E-17  1.18E-17
1908.986843  6.93E-18  6.93E-18
1908.995564  7.38E-18  7.38E-18
1909.009581  4.40E-18  4.40E-18
1909.026623  5.93E-18  5.93E-18
1909.040054  3.58E-18  3.58E-18
1909.049584  1.02E-17  1.02E-17
1909.06255  5.67E-18  5.67E-18
1909.083884  4.30E-18  4.30E-18
1909.100778  5.99E-18  5.99E-18
1909.109631  1.70E-17  1.70E-17
1909.121743  6.12E-18  6.12E-18
1909.142538  3.91E-18  3.91E-18
1909.152827  5.63E-18  5.63E-18
1909.162433  7.96E-18  7.96E-18
1909.174821  7.93E-18  7.93E-18
1909.19731  4.05E-18  4.05E-18
1909.217403  5.04E-18  5.04E-18
1909.239275  3.50E-18  3.50E-18
1909.258216  4.43E-18  4.43E-18
1909.265665  2.95E-17  2.95E-17
1909.271604  1.32E-17  1.32E-17
1909.278149  1.12E-17  1.12E-17
1909.290457  3.37E-18  3.37E-18
1909.302102  9.31E-18  9.31E-18
1909.311288  7.62E-18  7.62E-18
1909.328716  4.36E-18  4.36E-18
1909.350747  5.25E-18  5.25E-18
1909.36686  3.42E-18  3.42E-18
1909.384309  5.16E-18  5.16E-18
1909.409612  6.22E-18  6.22E-18
1909.433039  1.06E-17  1.06E-17
1909.444867  1.18E-17  1.18E-17
1909.456056  4.86E-18  4.86E-18
1909.468404  3.75E-18  3.75E-18
1909.498472  4.13E-18  4.13E-18
1909.514863  7.74E-18  7.74E-18
1909.520729  1.09E-17  1.09E-17
1909.527065  2.10E-17  2.10E-17
1909.535969  3.57E-18  3.57E-18
1909.547592  6.43E-18  6.43E-18
1909.553476  1.17E-17  1.17E-17
1909.558013  1.75E-17  1.75E-17
1909.563042  1.22E-17  1.22E-17
1909.56886  3.53E-18  3.53E-18
1909.579139  5.85E-18  5.85E-18
1909.60659  3.88E-18  3.88E-18
1909.616701  9.82E-18  9.82E-18
1909.622421  1.87E-17  1.87E-17
1909.62715  1.62E-17  1.62E-17
1909.631775  7.94E-18  7.94E-18
1909.636972  1.83E-17  1.83E-17
1909.643064  7.49E-18  7.49E-18
1909.650044  8.46E-18  8.46E-18
1909.660105  4.76E-18  4.76E-18
1909.671017  9.01E-18  9.01E-18
1909.679026  1.45E-17  1.45E-17
1909.688565  4.88E-18  4.88E-18
1909.700147  4.06E-18  4.06E-18
1909.709968  9.21E-18  9.21E-18
1909.719318  7.01E-18  7.01E-18
1909.730906  9.26E-18  9.26E-18
1909.758986  7.05E-18  7.05E-18
1909.776872  4.36E-18  4.36E-18
1909.785517  1.42E-17  1.42E-17
1909.793232  1.14E-17  1.14E-17
1909.80086  4.60E-18  4.60E-18
1909.809332  8.93E-18  8.93E-18
1909.817011  7.82E-18  7.82E-18
1909.824587  5.28E-18  5.28E-18
1909.833214  1.68E-17  1.68E-17
1909.842897  3.45E-18  3.45E-18
1909.851225  1.56E-17  1.56E-17
1909.858809  1.36E-17  1.36E-17
1909.864968  1.12E-17  1.12E-17
1909.87092  6.15E-18  6.15E-18
1909.880007  1.14E-17  1.14E-17
1909.901956  4.80E-18  4.80E-18
1909.928356  4.44E-18  4.44E-18
1909.946861  1.45E-17  1.45E-17
1909.957984  7.08E-18  7.08E-18
1909.968985  3.81E-18  3.81E-18
1909.976815  1.47E-17  1.47E-17
1909.983311  1.17E-17  1.17E-17
1909.990043  1.25E-17  1.25E-17
1910.000263  7.84E-18  7.84E-18
1910.033633  7.75E-18  7.75E-18
1910.049656  4.60E-18  4.60E-18
1910.059845  1.09E-17  1.09E-17
1910.071171  4.71E-18  4.71E-18
1910.082278  1.48E-17  1.48E-17
1910.099794  4.16E-18  4.16E-18
1910.116493  1.81E-17  1.81E-17
1910.123337  2.60E-17  2.60E-17
1910.12918  8.34E-18  8.34E-18
1910.136343  5.16E-18  5.16E-18
1910.149538  5.48E-18  5.48E-18
1910.171785  3.16E-18  3.16E-18
1910.184583  9.95E-18  9.95E-18
1910.194814  1.40E-17  1.40E-17
1910.201562  5.15E-18  5.15E-18
1910.211  6.44E-18  6.44E-18
1910.236214  5.81E-18  5.81E-18
1910.261293  3.51E-18  3.51E-18
1910.2745  2.21E-17  2.21E-17
1910.291325  3.57E-18  3.57E-18
1910.315456  7.17E-18  7.17E-18
1910.329545  4.20E-18  4.20E-18
1910.335271  2.13E-17  2.13E-17
1910.340881  1.25E-17  1.25E-17
1910.345674  3.91E-18  3.91E-18
1910.353676  1.04E-17  1.04E-17
1910.377306  5.84E-18  5.84E-18
1910.407963  2.91E-18  2.91E-18
1910.429816  7.11E-18  7.11E-18
1910.437785  7.73E-18  7.73E-18
1910.443619  2.25E-17  2.25E-17
1910.450417  2.59E-17  2.59E-17
1910.46201  6.95E-18  6.95E-18
1910.488728  6.17E-18  6.17E-18
1910.501329  4.54E-18  4.54E-18
1910.529256  8.38E-18  8.38E-18
1910.542333  6.95E-18  6.95E-18
1910.551641  4.43E-18  4.43E-18
1910.560234  7.88E-18  7.88E-18
1910.567057  1.17E-17  1.17E-17
1910.574226  1.44E-17  1.44E-17
1910.583773  4.63E-18  4.63E-18
1910.606464  6.52E-18  6.52E-18
1910.628083  1.06E-17  1.06E-17
1910.641376  1.49E-17  1.49E-17
1910.676784  4.15E-18  4.15E-18
1910.701417  5.69E-18  5.69E-18
1910.710405  9.55E-18  9.55E-18
1910.720176  3.55E-18  3.55E-18
1910.727925  7.88E-18  7.88E-18
1910.735611  1.88E-17  1.88E-17
1910.744357  1.02E-17  1.02E-17
1910.763148  5.22E-18  5.22E-18
1910.791042  4.20E-18  4.20E-18
1910.803334  1.00E-17  1.00E-17
1910.810905  4.30E-18  4.30E-18
1910.818561  3.57E-18  3.57E-18
1910.827039  9.46E-18  9.46E-18
1910.835832  8.12E-18  8.12E-18
1910.846342  7.47E-18  7.47E-18
1910.852216  1.83E-17  1.83E-17
1910.857761  2.75E-17  2.75E-17
1910.862582  1.32E-17  1.32E-17
1910.867931  1.45E-17  1.45E-17
1910.876369  4.24E-18  4.24E-18
1910.887913  4.35E-18  4.35E-18
1910.893983  8.13E-18  8.13E-18
1910.89896  2.29E-17  2.29E-17
1910.904781  1.72E-17  1.72E-17
1910.911945  3.70E-18  3.70E-18
1910.924879  9.37E-18  9.37E-18
1910.93591  8.08E-18  8.08E-18
1910.948414  3.19E-18  3.19E-18
1910.956378  1.57E-17  1.57E-17
1910.961945  2.40E-17  2.40E-17
1910.966745  1.18E-17  1.18E-17
1910.97319  6.63E-18  6.63E-18
1910.996223  6.55E-18  6.55E-18
1911.020219  4.36E-18  4.36E-18
1911.031497  1.81E-17  1.81E-17
1911.042083  3.65E-18  3.65E-18
1911.052639  1.19E-17  1.19E-17
1911.061086  8.66E-18  8.66E-18
1911.068472  1.77E-17  1.77E-17
1911.077739  5.72E-18  5.72E-18
1911.090611  9.39E-18  9.39E-18
1911.104724  1.04E-17  1.04E-17
1911.112222  1.98E-17  1.98E-17
1911.118721  5.41E-18  5.41E-18
1911.125574  1.18E-17  1.18E-17
1911.135934  4.47E-18  4.47E-18
1911.152346  3.51E-18  3.51E-18
1911.164895  1.82E-17  1.82E-17
1911.182181  3.31E-18  3.31E-18
1911.20229  1.69E-17  1.69E-17
1911.213555  6.33E-18  6.33E-18
1911.225805  1.53E-17  1.53E-17
1911.232941  6.33E-18  6.33E-18
1911.238955  2.01E-17  2.01E-17
1911.246234  6.13E-18  6.13E-18
1911.255872  6.21E-18  6.21E-18
1911.271172  4.62E-18  4.62E-18
1911.288196  1.10E-17  1.10E-17
1911.299163  5.23E-18  5.23E-18
1911.311441  1.33E-17  1.33E-17
1911.322508  5.49E-18  5.49E-18
1911.33498  1.08E-17  1.08E-17
1911.347664  1.04E-17  1.04E-17
1911.358949  1.32E-17  1.32E-17
1911.367568  1.61E-17  1.61E-17
1911.374942  1.39E-17  1.39E-17
1911.382626  4.15E-18  4.15E-18
1911.402468  4.43E-18  4.43E-18
1911.426188  5.16E-18  5.16E-18
1911.447518  6.74E-18  6.74E-18
1911.463638  1.37E-17  1.37E-17
1911.47366  5.74E-18  5.74E-18
1911.481994  1.24E-17  1.24E-17
1911.494147  5.18E-18  5.18E-18
1911.51448  1.59E-17  1.59E-17
1911.523617  2.16E-17  2.16E-17
1911.529716  6.63E-18  6.63E-18
1911.538302  9.43E-18  9.43E-18
1911.555239  2.90E-18  2.90E-18
1911.571748  7.04E-18  7.04E-18
1911.589094  5.31E-18  5.31E-18
1911.603759  2.08E-17  2.08E-17
1911.617944  4.90E-18  4.90E-18
1911.636514  9.48E-18  9.48E-18
1911.649167  4.11E-18  4.11E-18
1911.672126  3.00E-18  3.00E-18
1911.682332  1.03E-17  1.03E-17
1911.689509  3.57E-17  3.57E-17
1911.697433  1.24E-17  1.24E-17
1911.71176  3.60E-18  3.60E-18
1911.725794  4.72E-18  4.72E-18
1911.73706  1.23E-17  1.23E-17
1911.764708  3.89E-18  3.89E-18
1911.78948  1.25E-17  1.25E-17
1911.802345  4.96E-18  4.96E-18
1911.812194  4.12E-18  4.12E-18
1911.821117  4.41E-18  4.41E-18
1911.833354  7.65E-18  7.65E-18
1911.860427  1.22E-17  1.22E-17
1911.870515  8.09E-18  8.09E-18
1911.876254  1.48E-17  1.48E-17
1911.880942  3.52E-17  3.52E-17
1911.885908  3.54E-17  3.54E-17
1911.890617  1.05E-17  1.05E-17
1911.896774  1.42E-17  1.42E-17
1911.93957  2.82E-18  2.82E-18
1911.974681  3.73E-18  3.73E-18
1911.991434  9.45E-18  9.45E-18
1912.011122  2.94E-18  2.94E-18
1912.027161  5.12E-18  5.12E-18
1912.034095  2.04E-17  2.04E-17
1912.03995  2.25E-17  2.25E-17
1912.048367  4.77E-18  4.77E-18
1912.067323  3.82E-18  3.82E-18
1912.085456  1.53E-17  1.53E-17
1912.097897  1.47E-17  1.47E-17
1912.120781  2.77E-18  2.77E-18
1912.144711  2.74E-18  2.74E-18
1912.157361  8.18E-18  8.18E-18
1912.164936  1.56E-17  1.56E-17
1912.177191  4.13E-18  4.13E-18
1912.192484  9.32E-18  9.32E-18
1912.199352  1.25E-17  1.25E-17
1912.206302  2.56E-17  2.56E-17
1912.221533  5.94E-18  5.94E-18
1912.253694  5.39E-18  5.39E-18
1912.264807  3.74E-18  3.74E-18
1912.27076  4.32E-18  4.32E-18
1912.275404  1.09E-17  1.09E-17
1912.280209  1.68E-17  1.68E-17
1912.285161  7.22E-18  7.22E-18
1912.292124  3.84E-18  3.84E-18
1912.30196  9.46E-18  9.46E-18
1912.311542  2.05E-17  2.05E-17
